group_sid,group_id,group_name,technique_id,technique_name,is_subtechnique
intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,G0010,Turla,T1584.006,Web Services,True
intrusion-set--a7f57cc1-4540-4429-823f-f4e56b8473c9,G1003,Ember Bear,T1018,Remote System Discovery,False
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,G0139,TeamTNT,T1133,External Remote Services,False
intrusion-set--d13c8a7f-740b-4efa-a232-de7d6bb05321,G0091,Silence,T1571,Non-Standard Port,False
intrusion-set--17862c7d-9e60-48a0-b48e-da4dc4c3f6b0,G0040,Patchwork,T1059.005,Visual Basic,True
intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,G0007,APT28,T1003.003,NTDS,True
intrusion-set--8b1e16f6-e7c8-4b7a-a5df-f81232c13e2f,G1021,Cinnamon Tempest,T1047,Windows Management Instrumentation,False
intrusion-set--f29b7c5e-2439-42ad-a86f-9f8984fafae3,G1001,HEXANE,T1016,System Network Configuration Discovery,False
intrusion-set--9e729a7e-0dd6-4097-95bf-db8d64911383,G0012,Darkhotel,T1518.001,Security Software Discovery,True
intrusion-set--6713ab67-e25b-49cc-808d-2b36d4fbc35c,G0004,Ke3chang,T1114.002,Remote Email Collection,True
intrusion-set--174279b4-399f-4ddb-966e-5efedd1dd5f2,G1017,Volt Typhoon,T1046,Network Service Discovery,False
intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13,G0059,Magic Hound,T1056.001,Keylogging,True
intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,G0049,OilRig,T1555.004,Windows Credential Manager,True
intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192,G0034,Sandworm Team,T1588.006,Vulnerabilities,True
intrusion-set--dc6fe6ee-04c2-49be-ba3d-f38d2463c02a,G0080,Cobalt Group,T1566.001,Spearphishing Attachment,True
intrusion-set--64b52e7d-b2c4-4a02-9372-08a463f5dc11,G0143,Aquatic Panda,T1087,Account Discovery,False
intrusion-set--64b52e7d-b2c4-4a02-9372-08a463f5dc11,G0143,Aquatic Panda,T1070.004,File Deletion,True
intrusion-set--2688b13e-8e71-405a-9c40-0dee94bddf87,G0125,HAFNIUM,T1592.004,Client Configurations,True
intrusion-set--7eda3dd8-b09b-4705-8090-c2ad9fb8c14d,G0092,TA505,T1087.003,Email Account,True
intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,G0087,APT39,T1046,Network Service Discovery,False
intrusion-set--269e8108-68c6-4f99-b911-14b2e765dec2,G0069,MuddyWater,T1566.002,Spearphishing Link,True
intrusion-set--00f67a77-86a4-4adf-be26-1a54fc713340,G0082,APT38,T1486,Data Encrypted for Impact,False
intrusion-set--e44e0985-bc65-4a8f-b578-211c858128e3,G0134,Transparent Tribe,T1189,Drive-by Compromise,False
intrusion-set--a7f57cc1-4540-4429-823f-f4e56b8473c9,G1003,Ember Bear,T1003,OS Credential Dumping,False
intrusion-set--00f67a77-86a4-4adf-be26-1a54fc713340,G0082,APT38,T1055,Process Injection,False
intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,G0032,Lazarus Group,T1059.003,Windows Command Shell,True
intrusion-set--93f52415-0fe4-4d3d-896c-fc9b8e88ab90,G0060,BRONZE BUTLER,T1140,Deobfuscate/Decode Files or Information,False
intrusion-set--c1aab4c9-4c34-4f4f-8541-d529e46a07f9,G1023,APT5,T1059.001,PowerShell,True
intrusion-set--9735c036-8ebe-47e9-9c77-b0ae656dab93,G0135,BackdoorDiplomacy,T1027,Obfuscated Files or Information,False
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,G0139,TeamTNT,T1219,Remote Access Tools,False
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,G0094,Kimsuky,T1005,Data from Local System,False
intrusion-set--7113eaa5-ba79-4fb3-b68a-398ee9cd698e,G0065,Leviathan,T1567.002,Exfiltration to Cloud Storage,True
intrusion-set--46bb06cb-f2d9-4b37-8c92-a27e224ad90d,G1024,Akira,T1567.002,Exfiltration to Cloud Storage,True
intrusion-set--6fe8a2a1-a1b0-4af8-953d-4babd329f8f8,G0098,BlackTech,T1204.001,Malicious Link,True
intrusion-set--420ac20b-f2b9-42b8-aa1a-6d4b72895ca4,G0129,Mustang Panda,T1016,System Network Configuration Discovery,False
intrusion-set--d8bc9788-4f7d-41a9-9e9d-ee1ea18a8cf7,G1004,LAPSUS$,T1589,Gather Victim Identity Information,False
intrusion-set--8c1f0187-0826-4320-bddc-5f326cfcfe2c,G0114,Chimera,T1574.001,DLL,True
intrusion-set--b7f627e2-0817-4cd5-8d50-e75f8aa85cc6,G1014,LuminousMoth,T1567.002,Exfiltration to Cloud Storage,True
intrusion-set--467271fd-47c0-4e90-a3f9-d84f5cf790d0,G1018,TA2541,T1608.001,Upload Malware,True
intrusion-set--17862c7d-9e60-48a0-b48e-da4dc4c3f6b0,G0040,Patchwork,T1560,Archive Collected Data,False
intrusion-set--b7f627e2-0817-4cd5-8d50-e75f8aa85cc6,G1014,LuminousMoth,T1566.002,Spearphishing Link,True
intrusion-set--7f848c02-4d1e-4808-a4ae-4670681370a9,G1002,BITTER,T1105,Ingress Tool Transfer,False
intrusion-set--c416b28c-103b-4df1-909e-78089a7e0e5f,G0048,RTM,T1189,Drive-by Compromise,False
intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192,G0034,Sandworm Team,T1040,Network Sniffing,False
intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,G0045,menuPass,T1018,Remote System Discovery,False
intrusion-set--56319646-eb6e-41fc-ae53-aadfa7adb924,G0081,Tropic Trooper,T1543.003,Windows Service,True
intrusion-set--0d4ac089-ced4-4cc4-a989-174d08e6d030,G1020,Mustard Tempest,T1583.008,Malvertising,True
intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,G0045,menuPass,T1047,Windows Management Instrumentation,False
intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13,G0059,Magic Hound,T1567,Exfiltration Over Web Service,False
intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,G0073,APT19,T1547.001,Registry Run Keys / Startup Folder,True
intrusion-set--4c4a7846-45d5-4761-8eea-725fa989914c,G1009,Moses Staff,T1021.002,SMB/Windows Admin Shares,True
intrusion-set--894aab42-3371-47b1-8859-a4a074c804c8,G0038,Stealth Falcon,T1555.004,Windows Credential Manager,True
intrusion-set--813636db-3939-4a45-bea9-6113e970c029,G0105,DarkVishnya,T1200,Hardware Additions,False
intrusion-set--4a2ce82e-1a74-468a-a6fb-bbead541383c,G0067,APT37,T1547.001,Registry Run Keys / Startup Folder,True
intrusion-set--2688b13e-8e71-405a-9c40-0dee94bddf87,G0125,HAFNIUM,T1110.003,Password Spraying,True
intrusion-set--d519164e-f5fa-4b8c-a1fb-cf0172ad0983,G0028,Threat Group-1314,T1021.002,SMB/Windows Admin Shares,True
intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192,G0034,Sandworm Team,T1027.010,Command Obfuscation,True
intrusion-set--18854f55-ac7c-4634-bd9a-352dd07613b7,G0096,APT41,T1078,Valid Accounts,False
intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,G0010,Turla,T1112,Modify Registry,False
intrusion-set--f29b7c5e-2439-42ad-a86f-9f8984fafae3,G1001,HEXANE,T1555,Credentials from Password Stores,False
intrusion-set--b7f627e2-0817-4cd5-8d50-e75f8aa85cc6,G1014,LuminousMoth,T1588.001,Malware,True
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,G0139,TeamTNT,T1569.003,Systemctl,True
intrusion-set--319fd652-edde-46b2-9987-3519493989f5,G1046,Storm-1811,T1585.003,Cloud Accounts,True
intrusion-set--319fd652-edde-46b2-9987-3519493989f5,G1046,Storm-1811,T1074.001,Local Data Staging,True
intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,G0087,APT39,T1547.001,Registry Run Keys / Startup Folder,True
intrusion-set--8b1e16f6-e7c8-4b7a-a5df-f81232c13e2f,G1021,Cinnamon Tempest,T1574.001,DLL,True
intrusion-set--f9c06633-dcff-48a1-8588-759e7cec5694,G0068,PLATINUM,T1189,Drive-by Compromise,False
intrusion-set--319fd652-edde-46b2-9987-3519493989f5,G1046,Storm-1811,T1667,Email Bombing,False
intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,G0010,Turla,T1069.001,Local Groups,True
intrusion-set--fbe9387f-34e6-4828-ac28-3080020c597b,G0051,FIN10,T1070.004,File Deletion,True
intrusion-set--cb41e991-65f4-4668-a65f-f4200545b5a1,G1032,INC Ransom,T1486,Data Encrypted for Impact,False
intrusion-set--c5947e1c-1cbc-434c-94b8-27c7e3be0fff,G0044,Winnti Group,T1014,Rootkit,False
intrusion-set--93f52415-0fe4-4d3d-896c-fc9b8e88ab90,G0060,BRONZE BUTLER,T1005,Data from Local System,False
intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,G0007,APT28,T1589.001,Credentials,True
intrusion-set--2688b13e-8e71-405a-9c40-0dee94bddf87,G0125,HAFNIUM,T1105,Ingress Tool Transfer,False
intrusion-set--fd19bd82-1b14-49a1-a176-6cdc46b8a826,G0061,FIN8,T1078,Valid Accounts,False
intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,G0032,Lazarus Group,T1566.001,Spearphishing Attachment,True
intrusion-set--f29b7c5e-2439-42ad-a86f-9f8984fafae3,G1001,HEXANE,T1027.010,Command Obfuscation,True
intrusion-set--96e239be-ad99-49eb-b127-3007b8c1bec9,G0020,Equation,T1120,Peripheral Device Discovery,False
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,G0094,Kimsuky,T1587.001,Malware,True
intrusion-set--00f67a77-86a4-4adf-be26-1a54fc713340,G0082,APT38,T1033,System Owner/User Discovery,False
intrusion-set--44102191-3a31-45f8-acbe-34bdb441d5ad,G0106,Rocke,T1190,Exploit Public-Facing Application,False
intrusion-set--2c40f629-6cf9-4f75-af32-9a98caec24ae,G1042,RedEcho,T1568,Dynamic Resolution,False
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,G0094,Kimsuky,T1583,Acquire Infrastructure,False
intrusion-set--674582ec-51c4-42ce-b409-797239e37a2a,G1031,Saint Bear,T1566.001,Spearphishing Attachment,True
intrusion-set--44d37b89-a739-4810-9111-0d2617a8939b,G1015,Scattered Spider,T1598,Phishing for Information,False
intrusion-set--93f52415-0fe4-4d3d-896c-fc9b8e88ab90,G0060,BRONZE BUTLER,T1007,System Service Discovery,False
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,G0139,TeamTNT,T1036.005,Match Legitimate Resource Name or Location,True
intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,G0007,APT28,T1591,Gather Victim Org Information,False
intrusion-set--3ea7add5-5b8f-45d8-b1f1-905d2729d62a,G1012,CURIUM,T1566.003,Spearphishing via Service,True
intrusion-set--4e868dad-682d-4897-b8df-2dc98f46c68a,G0124,Windigo,T1082,System Information Discovery,False
intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,G0045,menuPass,T1036,Masquerading,False
intrusion-set--6fe8a2a1-a1b0-4af8-953d-4babd329f8f8,G0098,BlackTech,T1588.003,Code Signing Certificates,True
intrusion-set--73a80fab-2aa3-48e0-a4d0-3a4828200aee,G0108,Blue Mockingbird,T1059.001,PowerShell,True
intrusion-set--82323c70-4186-4b61-94f5-b227c3b28e89,G1039,RedCurl,T1027,Obfuscated Files or Information,False
intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,G0087,APT39,T1090.002,External Proxy,True
intrusion-set--d0b3393b-3bec-4ba3-bda9-199d30db47b6,G0085,FIN4,T1078,Valid Accounts,False
intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,G0045,menuPass,T1070.004,File Deletion,True
intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e,G0050,APT32,T1550.002,Pass the Hash,True
intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,G0010,Turla,T1140,Deobfuscate/Decode Files or Information,False
intrusion-set--64b52e7d-b2c4-4a02-9372-08a463f5dc11,G0143,Aquatic Panda,T1059.004,Unix Shell,True
intrusion-set--c1aab4c9-4c34-4f4f-8541-d529e46a07f9,G1023,APT5,T1136.001,Local Account,True
intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13,G0059,Magic Hound,T1589.001,Credentials,True
intrusion-set--cb41e991-65f4-4668-a65f-f4200545b5a1,G1032,INC Ransom,T1562.001,Disable or Modify Tools,True
intrusion-set--2688b13e-8e71-405a-9c40-0dee94bddf87,G0125,HAFNIUM,T1583.006,Web Services,True
intrusion-set--b7f627e2-0817-4cd5-8d50-e75f8aa85cc6,G1014,LuminousMoth,T1030,Data Transfer Size Limits,False
intrusion-set--dc6fe6ee-04c2-49be-ba3d-f38d2463c02a,G0080,Cobalt Group,T1105,Ingress Tool Transfer,False
intrusion-set--269e8108-68c6-4f99-b911-14b2e765dec2,G0069,MuddyWater,T1137.001,Office Template Macros,True
intrusion-set--1f21da59-6a13-455b-afd0-d58d0a5a7d27,G0078,Gorgon Group,T1055.012,Process Hollowing,True
intrusion-set--467271fd-47c0-4e90-a3f9-d84f5cf790d0,G1018,TA2541,T1547.001,Registry Run Keys / Startup Folder,True
intrusion-set--3753cc21-2dae-4dfb-8481-d004e74502cc,G0046,FIN7,T1553.002,Code Signing,True
intrusion-set--269e8108-68c6-4f99-b911-14b2e765dec2,G0069,MuddyWater,T1574.001,DLL,True
intrusion-set--3fc023b2-c5cc-481d-9c3e-70141ae1a87e,G0121,Sidewinder,T1203,Exploitation for Client Execution,False
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,G0094,Kimsuky,T1021.001,Remote Desktop Protocol,True
intrusion-set--e44e0985-bc65-4a8f-b578-211c858128e3,G0134,Transparent Tribe,T1608.004,Drive-by Target,True
intrusion-set--54dfec3e-6464-4f74-9d69-b7c817b7e5a3,G0126,Higaisa,T1059.005,Visual Basic,True
intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,G0087,APT39,T1140,Deobfuscate/Decode Files or Information,False
intrusion-set--93f52415-0fe4-4d3d-896c-fc9b8e88ab90,G0060,BRONZE BUTLER,T1070.004,File Deletion,True
intrusion-set--1c63d4ec-0a75-4daa-b1df-0d11af3d3cc1,G0035,Dragonfly,T1113,Screen Capture,False
intrusion-set--cb41e991-65f4-4668-a65f-f4200545b5a1,G1032,INC Ransom,T1021.001,Remote Desktop Protocol,True
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,G0139,TeamTNT,T1222.002,Linux and Mac File and Directory Permissions Modification,True
intrusion-set--3ea7add5-5b8f-45d8-b1f1-905d2729d62a,G1012,CURIUM,T1505.003,Web Shell,True
intrusion-set--3753cc21-2dae-4dfb-8481-d004e74502cc,G0046,FIN7,T1078,Valid Accounts,False
intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,G0007,APT28,T1564.001,Hidden Files and Directories,True
intrusion-set--afec6dc3-a18e-4b62-b1a4-5510e1a498d1,G0112,Windshift,T1057,Process Discovery,False
intrusion-set--174279b4-399f-4ddb-966e-5efedd1dd5f2,G1017,Volt Typhoon,T1083,File and Directory Discovery,False
intrusion-set--cb41e991-65f4-4668-a65f-f4200545b5a1,G1032,INC Ransom,T1657,Financial Theft,False
intrusion-set--6eded342-33e5-4451-b6b2-e1c62863129f,G0142,Confucius,T1566.002,Spearphishing Link,True
intrusion-set--c416b28c-103b-4df1-909e-78089a7e0e5f,G0048,RTM,T1547.001,Registry Run Keys / Startup Folder,True
intrusion-set--02b16bd6-ae88-417a-8a3f-02c5e166175a,G1043,BlackByte,T1082,System Information Discovery,False
intrusion-set--fb366179-766c-4a4a-afa1-52bff1fd601c,G0027,Threat Group-3390,T1068,Exploitation for Privilege Escalation,False
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,G0094,Kimsuky,T1585.002,Email Accounts,True
intrusion-set--c5b81590-6814-4d2a-8baa-15c4b6c7f960,G0131,Tonto Team,T1135,Network Share Discovery,False
intrusion-set--2e290bfe-93b5-48ce-97d6-edcd6d32b7cf,G0047,Gamaredon Group,T1491.001,Internal Defacement,True
intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,G0032,Lazarus Group,T1202,Indirect Command Execution,False
intrusion-set--56319646-eb6e-41fc-ae53-aadfa7adb924,G0081,Tropic Trooper,T1070.004,File Deletion,True
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,G0094,Kimsuky,T1566,Phishing,False
intrusion-set--4a2ce82e-1a74-468a-a6fb-bbead541383c,G0067,APT37,T1120,Peripheral Device Discovery,False
intrusion-set--fd66436e-4d33-450e-ac4c-f7810f1c85f4,G1016,FIN13,T1587.001,Malware,True
intrusion-set--44d37b89-a739-4810-9111-0d2617a8939b,G1015,Scattered Spider,T1553.002,Code Signing,True
intrusion-set--cc613a49-9bfa-4e22-98d1-15ffbb03f034,G1006,Earth Lusca,T1027.003,Steganography,True
intrusion-set--2e290bfe-93b5-48ce-97d6-edcd6d32b7cf,G0047,Gamaredon Group,T1583.003,Virtual Private Server,True
intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13,G0059,Magic Hound,T1547.001,Registry Run Keys / Startup Folder,True
intrusion-set--56a05d27-4d47-418a-b330-781c5614f202,G1041,Sea Turtle,T1583,Acquire Infrastructure,False
intrusion-set--cb41e991-65f4-4668-a65f-f4200545b5a1,G1032,INC Ransom,T1047,Windows Management Instrumentation,False
intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,G0032,Lazarus Group,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,True
intrusion-set--f40eb8ce-2a74-4e56-89a1-227021410142,G0075,Rancor,T1071.001,Web Protocols,True
intrusion-set--44d37b89-a739-4810-9111-0d2617a8939b,G1015,Scattered Spider,T1556.009,Conditional Access Policies,True
intrusion-set--e6db1e55-b199-4b6b-8633-989345ee45e0,G1036,Moonstone Sleet,T1587.001,Malware,True
intrusion-set--94873029-f950-4268-9cfd-5032e15cb182,G0127,TA551,T1218.010,Regsvr32,True
intrusion-set--fd66436e-4d33-450e-ac4c-f7810f1c85f4,G1016,FIN13,T1078.001,Default Accounts,True
intrusion-set--174279b4-399f-4ddb-966e-5efedd1dd5f2,G1017,Volt Typhoon,T1591.004,Identify Roles,True
intrusion-set--82323c70-4186-4b61-94f5-b227c3b28e89,G1039,RedCurl,T1564.001,Hidden Files and Directories,True
intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,G0032,Lazarus Group,T1001.003,Protocol or Service Impersonation,True
intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,G0007,APT28,T1583.003,Virtual Private Server,True
intrusion-set--d8bc9788-4f7d-41a9-9e9d-ee1ea18a8cf7,G1004,LAPSUS$,T1005,Data from Local System,False
intrusion-set--fb366179-766c-4a4a-afa1-52bff1fd601c,G0027,Threat Group-3390,T1030,Data Transfer Size Limits,False
intrusion-set--813636db-3939-4a45-bea9-6113e970c029,G0105,DarkVishnya,T1588.002,Tool,True
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,G0139,TeamTNT,T1070.004,File Deletion,True
intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,G0010,Turla,T1588.002,Tool,True
intrusion-set--467271fd-47c0-4e90-a3f9-d84f5cf790d0,G1018,TA2541,T1573.002,Asymmetric Cryptography,True
intrusion-set--e6db1e55-b199-4b6b-8633-989345ee45e0,G1036,Moonstone Sleet,T1033,System Owner/User Discovery,False
intrusion-set--01e28736-2ffc-455b-9880-ed4d1407ae07,G0119,Indrik Spider,T1587.001,Malware,True
intrusion-set--2688b13e-8e71-405a-9c40-0dee94bddf87,G0125,HAFNIUM,T1560.001,Archive via Utility,True
intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,G0007,APT28,T1596,Search Open Technical Databases,False
intrusion-set--6fe8a2a1-a1b0-4af8-953d-4babd329f8f8,G0098,BlackTech,T1046,Network Service Discovery,False
intrusion-set--56319646-eb6e-41fc-ae53-aadfa7adb924,G0081,Tropic Trooper,T1566.001,Spearphishing Attachment,True
intrusion-set--ecbf507f-6786-4121-a4cc-0fd6a8d3a29d,G1040,Play,T1016,System Network Configuration Discovery,False
intrusion-set--8b1e16f6-e7c8-4b7a-a5df-f81232c13e2f,G1021,Cinnamon Tempest,T1105,Ingress Tool Transfer,False
intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,G0049,OilRig,T1082,System Information Discovery,False
intrusion-set--afec6dc3-a18e-4b62-b1a4-5510e1a498d1,G0112,Windshift,T1189,Drive-by Compromise,False
intrusion-set--a0cb9370-e39b-44d5-9f50-ef78e412b973,G0001,Axiom,T1001.002,Steganography,True
intrusion-set--d8bc9788-4f7d-41a9-9e9d-ee1ea18a8cf7,G1004,LAPSUS$,T1069.002,Domain Groups,True
intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,G0010,Turla,T1059.007,JavaScript,True
intrusion-set--8a831aaa-f3e0-47a3-bed8-a9ced744dd12,G0070,Dark Caracal,T1027.013,Encrypted/Encoded File,True
intrusion-set--02b16bd6-ae88-417a-8a3f-02c5e166175a,G1043,BlackByte,T1016,System Network Configuration Discovery,False
intrusion-set--2a7914cf-dff3-428d-ab0f-1014d1c28aeb,G0037,FIN6,T1560.003,Archive via Custom Method,True
intrusion-set--03506554-5f37-4f8f-9ce4-0e9f01a1b484,G0066,Elderwood,T1027.013,Encrypted/Encoded File,True
intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,G0005,APT12,T1204.002,Malicious File,True
intrusion-set--0bbdf25b-30ff-4894-a1cd-49260d0dd2d9,G0022,APT3,T1053.005,Scheduled Task,True
intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,G0016,APT29,T1621,Multi-Factor Authentication Request Generation,False
intrusion-set--00f67a77-86a4-4adf-be26-1a54fc713340,G0082,APT38,T1112,Modify Registry,False
intrusion-set--3fc023b2-c5cc-481d-9c3e-70141ae1a87e,G0121,Sidewinder,T1518.001,Security Software Discovery,True
intrusion-set--bfc5ddb3-4dfb-4278-8928-020e1b3feddd,G1013,Metador,T1071.001,Web Protocols,True
intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,G0007,APT28,T1583.001,Domains,True
intrusion-set--fd66436e-4d33-450e-ac4c-f7810f1c85f4,G1016,FIN13,T1572,Protocol Tunneling,False
intrusion-set--e1fc262c-dad2-4b82-abda-5f08dd134971,G1047,Velvet Ant,T1090.001,Internal Proxy,True
intrusion-set--4a2ce82e-1a74-468a-a6fb-bbead541383c,G0067,APT37,T1059.006,Python,True
intrusion-set--894aab42-3371-47b1-8859-a4a074c804c8,G0038,Stealth Falcon,T1059,Command and Scripting Interpreter,False
intrusion-set--02b16bd6-ae88-417a-8a3f-02c5e166175a,G1043,BlackByte,T1046,Network Service Discovery,False
intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e,G0050,APT32,T1036,Masquerading,False
intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,G0045,menuPass,T1046,Network Service Discovery,False
intrusion-set--d8bc9788-4f7d-41a9-9e9d-ee1ea18a8cf7,G1004,LAPSUS$,T1213.001,Confluence,True
intrusion-set--df71bb3b-813c-45eb-a8bc-f2a419837411,G0021,Molerats,T1218.007,Msiexec,True
intrusion-set--7eda3dd8-b09b-4705-8090-c2ad9fb8c14d,G0092,TA505,T1583.001,Domains,True
intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,G0032,Lazarus Group,T1584.004,Server,True
intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,G0087,APT39,T1056.001,Keylogging,True
intrusion-set--2c40f629-6cf9-4f75-af32-9a98caec24ae,G1042,RedEcho,T1071.001,Web Protocols,True
intrusion-set--4283ae19-69c7-4347-a35e-b56f08eb660b,G0128,ZIRCONIUM,T1082,System Information Discovery,False
intrusion-set--674582ec-51c4-42ce-b409-797239e37a2a,G1031,Saint Bear,T1203,Exploitation for Client Execution,False
intrusion-set--2a7914cf-dff3-428d-ab0f-1014d1c28aeb,G0037,FIN6,T1566.001,Spearphishing Attachment,True
intrusion-set--2e290bfe-93b5-48ce-97d6-edcd6d32b7cf,G0047,Gamaredon Group,T1001,Data Obfuscation,False
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,G0094,Kimsuky,T1204.002,Malicious File,True
intrusion-set--46bb06cb-f2d9-4b37-8c92-a27e224ad90d,G1024,Akira,T1213.002,Sharepoint,True
intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,G0087,APT39,T1005,Data from Local System,False
intrusion-set--02b16bd6-ae88-417a-8a3f-02c5e166175a,G1043,BlackByte,T1105,Ingress Tool Transfer,False
