file,group_name,group_id,score,matched_exact,matched_root_only
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Chimera,G0114,19,T1018 (discovery); T1046 (discovery); T1047 (execution); T1570 (lateral-movement),"T1003.003 (credential-access); T1021.001 (lateral-movement); T1021.002 (lateral-movement); T1021.006 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1070.001 (defense-evasion); T1070.004 (defense-evasion); T1070.006 (defense-evasion); T1569.002 (execution)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Threat Group-3390,G0027,19,T1018 (discovery); T1046 (discovery); T1047 (execution); T1068 (privilege-escalation),"T1003.001 (credential-access); T1003.002 (credential-access); T1003.004 (credential-access); T1021.006 (lateral-movement); T1053.002 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1070.004 (defense-evasion); T1070.005 (defense-evasion); T1505.003 (persistence); T1562.002 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,FIN13,G1016,19,T1046 (discovery); T1047 (execution),"T1003.001 (credential-access); T1003.002 (credential-access); T1003.003 (credential-access); T1021.001 (lateral-movement); T1021.002 (lateral-movement); T1021.004 (lateral-movement); T1021.006 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.005 (execution); T1098.007 (); T1134.003 (defense-evasion, privilege-escalation); T1136.001 (persistence); T1505.003 (persistence)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Dragonfly,G0035,18,T1018 (discovery); T1059 (execution),"T1003.002 (credential-access); T1003.003 (credential-access); T1003.004 (credential-access); T1021.001 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.006 (execution); T1070.001 (defense-evasion); T1070.004 (defense-evasion); T1098.007 (); T1136.001 (persistence); T1505.003 (persistence); T1562.004 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,APT29,G0016,18,T1047 (execution); T1068 (privilege-escalation),"T1003.002 (credential-access); T1003.004 (credential-access); T1021.007 (); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.006 (execution); T1059.009 (); T1070.004 (defense-evasion); T1070.006 (defense-evasion); T1098.002 (persistence); T1098.005 (); T1136.003 (persistence); T1505.003 (persistence); T1562.008 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Fox Kitten,G0117,17,T1018 (discovery); T1046 (discovery); T1059 (execution),"T1003.001 (credential-access); T1003.003 (credential-access); T1021.001 (lateral-movement); T1021.002 (lateral-movement); T1021.004 (lateral-movement); T1021.005 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1136.001 (persistence); T1505.003 (persistence)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,menuPass,G0045,16,T1018 (discovery); T1046 (discovery); T1047 (execution),"T1003.002 (credential-access); T1003.003 (credential-access); T1003.004 (credential-access); T1021.001 (lateral-movement); T1021.004 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1070.003 (defense-evasion); T1070.004 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,APT5,G1023,16,T1070 (defense-evasion),"T1003.001 (credential-access); T1003.002 (credential-access); T1021.001 (lateral-movement); T1021.004 (lateral-movement); T1053.003 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1070.003 (defense-evasion); T1070.004 (defense-evasion); T1070.006 (defense-evasion); T1098.007 (); T1136.001 (persistence); T1505.003 (persistence); T1562.006 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Indrik Spider,G0119,15,T1018 (discovery); T1047 (execution); T1136 (persistence),T1003.001 (credential-access); T1021.001 (lateral-movement); T1021.004 (lateral-movement); T1059.001 (execution); T1059.003 (execution); T1059.007 (execution); T1070.001 (defense-evasion); T1136.001 (persistence); T1562.001 (defense-evasion)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,FIN8,G0061,15,T1018 (discovery); T1047 (execution); T1068 (privilege-escalation),"T1003.001 (credential-access); T1021.001 (lateral-movement); T1021.002 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1070.001 (defense-evasion); T1070.004 (defense-evasion); T1134.001 (defense-evasion, privilege-escalation)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Aquatic Panda,G0143,15,T1021 (lateral-movement); T1047 (execution),T1003.001 (credential-access); T1021.001 (lateral-movement); T1021.002 (lateral-movement); T1021.004 (lateral-movement); T1059.001 (execution); T1059.003 (execution); T1059.004 (execution); T1070.001 (defense-evasion); T1070.003 (defense-evasion); T1070.004 (defense-evasion); T1562.001 (defense-evasion)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,APT28,G0007,15,T1003 (credential-access); T1068 (privilege-escalation),"T1003.001 (credential-access); T1003.003 (credential-access); T1021.002 (lateral-movement); T1059.001 (execution); T1059.003 (execution); T1070.001 (defense-evasion); T1070.004 (defense-evasion); T1070.006 (defense-evasion); T1098.002 (persistence); T1134.001 (defense-evasion, privilege-escalation); T1505.003 (persistence)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,TeamTNT,G0139,15,T1046 (discovery),T1021.004 (lateral-movement); T1059.001 (execution); T1059.003 (execution); T1059.004 (execution); T1059.009 (); T1070.002 (defense-evasion); T1070.003 (defense-evasion); T1070.004 (defense-evasion); T1098.004 (persistence); T1136.001 (persistence); T1562.001 (defense-evasion); T1562.004 (defense-evasion); T1569.003 ()
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Kimsuky,G0094,15,,"T1003.001 (credential-access); T1021.001 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.005 (execution); T1059.006 (execution); T1059.007 (execution); T1070.004 (defense-evasion); T1070.006 (defense-evasion); T1098.007 (); T1136.001 (persistence); T1505.003 (persistence); T1562.001 (defense-evasion); T1562.004 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Sandworm Team,G0034,14,T1018 (discovery); T1047 (execution); T1570 (lateral-movement),"T1003.001 (credential-access); T1003.003 (credential-access); T1021.002 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.005 (execution); T1070.004 (defense-evasion); T1505.003 (persistence)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Turla,G0010,14,T1018 (discovery); T1068 (privilege-escalation); T1570 (lateral-movement),"T1021.002 (lateral-movement); T1059.001 (execution); T1059.003 (execution); T1059.005 (execution); T1059.006 (execution); T1059.007 (execution); T1134.002 (defense-evasion, privilege-escalation); T1562.001 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Earth Lusca,G1006,13,"T1018 (discovery); T1047 (execution); T1053 (execution, persistence, privilege-escalation)",T1003.001 (credential-access); T1003.006 (credential-access); T1059.001 (execution); T1059.005 (execution); T1059.006 (execution); T1059.007 (execution); T1098.004 (persistence)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,HAFNIUM,G0125,13,T1018 (discovery); T1068 (privilege-escalation); T1098 (persistence),T1003.001 (credential-access); T1003.003 (credential-access); T1059.001 (execution); T1059.003 (execution); T1070.001 (defense-evasion); T1136.002 (persistence); T1505.003 (persistence)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,GALLIUM,G0093,13,T1018 (discovery); T1047 (execution); T1570 (lateral-movement),"T1003.001 (credential-access); T1003.002 (credential-access); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1136.002 (persistence); T1505.003 (persistence)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Rocke,G0106,13,T1018 (discovery); T1046 (discovery),"T1021.004 (lateral-movement); T1053.003 (execution, persistence, privilege-escalation); T1059.004 (execution); T1059.006 (execution); T1070.002 (defense-evasion); T1070.004 (defense-evasion); T1070.006 (defense-evasion); T1562.001 (defense-evasion); T1562.004 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,APT38,G0082,13,,"T1053.003 (execution, persistence, privilege-escalation); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.005 (execution); T1070.001 (defense-evasion); T1070.004 (defense-evasion); T1070.006 (defense-evasion); T1505.003 (persistence); T1562.001 (defense-evasion); T1562.003 (defense-evasion); T1562.004 (defense-evasion); T1569.002 (execution)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Agrius,G1030,12,T1018 (discovery); T1046 (discovery); T1570 (lateral-movement),T1003.001 (credential-access); T1003.002 (credential-access); T1021.001 (lateral-movement); T1059.003 (execution); T1505.003 (persistence); T1562.001 (defense-evasion)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,FIN7,G0046,12,T1047 (execution); T1059 (execution),"T1021.001 (lateral-movement); T1021.004 (lateral-movement); T1021.005 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.005 (execution); T1059.007 (execution)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,MuddyWater,G0069,12,T1047 (execution),"T1003.001 (credential-access); T1003.004 (credential-access); T1003.005 (credential-access); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.005 (execution); T1059.006 (execution); T1059.007 (execution); T1562.001 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,INC Ransom,G1032,11,T1046 (discovery); T1047 (execution); T1570 (lateral-movement),T1021.001 (lateral-movement); T1059.003 (execution); T1070.004 (defense-evasion); T1562.001 (defense-evasion); T1569.002 (execution)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Ke3chang,G0004,11,T1018 (discovery); T1059 (execution),T1003.001 (credential-access); T1003.002 (credential-access); T1003.003 (credential-access); T1003.004 (credential-access); T1021.002 (lateral-movement); T1059.003 (execution); T1569.002 (execution)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Cobalt Group,G0080,11,T1046 (discovery); T1068 (privilege-escalation),"T1021.001 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.005 (execution); T1059.007 (execution); T1070.004 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Blue Mockingbird,G0108,11,"T1047 (execution); T1134 (defense-evasion, privilege-escalation)","T1003.001 (credential-access); T1021.001 (lateral-movement); T1021.002 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1569.002 (execution)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Silence,G0091,11,T1018 (discovery),"T1003.001 (credential-access); T1021.001 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.005 (execution); T1059.007 (execution); T1070.004 (defense-evasion); T1569.002 (execution)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,BRONZE BUTLER,G0060,11,T1018 (discovery),"T1003.001 (credential-access); T1053.002 (execution, persistence, privilege-escalation); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.005 (execution); T1059.006 (execution); T1070.004 (defense-evasion); T1562.001 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,APT3,G0022,11,T1018 (discovery),"T1003.001 (credential-access); T1021.001 (lateral-movement); T1021.002 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1070.004 (defense-evasion); T1098.007 (); T1136.001 (persistence)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Leviathan,G0065,10,T1003 (credential-access); T1047 (execution),T1003.001 (credential-access); T1021.001 (lateral-movement); T1021.004 (lateral-movement); T1059.001 (execution); T1059.005 (execution); T1505.003 (persistence)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Scattered Spider,G1015,9,T1018 (discovery); T1068 (privilege-escalation); T1136 (persistence),T1003.003 (credential-access); T1021.007 (); T1098.003 (persistence)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Velvet Ant,G1047,9,T1047 (execution); T1570 (lateral-movement),T1021.002 (lateral-movement); T1059.004 (execution); T1562.001 (defense-evasion); T1562.004 (defense-evasion); T1569.002 (execution)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Leafminer,G0077,9,T1018 (discovery); T1046 (discovery),T1003.001 (credential-access); T1003.004 (credential-access); T1003.005 (credential-access); T1059.007 (execution); T1136.001 (persistence)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,ToddyCat,G1022,9,T1018 (discovery); T1047 (execution),"T1021.002 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1562.004 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Play,G1040,9,T1018 (discovery),T1003.001 (credential-access); T1021.002 (lateral-movement); T1059.001 (execution); T1059.003 (execution); T1070.001 (defense-evasion); T1070.004 (defense-evasion); T1562.001 (defense-evasion)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,RedCurl,G1039,9,T1046 (discovery),"T1003.001 (credential-access); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.005 (execution); T1059.006 (execution); T1070.004 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Gamaredon Group,G0047,9,T1047 (execution),"T1021.005 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.005 (execution); T1070.004 (defense-evasion); T1562.001 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Lotus Blossom,G0030,8,"T1018 (discovery); T1046 (discovery); T1047 (execution); T1134 (defense-evasion, privilege-escalation)",
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,APT42,G1044,8,T1047 (execution); T1070 (defense-evasion),"T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.005 (execution); T1070.008 ()"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Mustang Panda,G0129,8,T1047 (execution),"T1003.003 (credential-access); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.005 (execution); T1070.004 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,APT33,G0064,8,T1068 (privilege-escalation),"T1003.001 (credential-access); T1003.004 (credential-access); T1003.005 (credential-access); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.005 (execution)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Naikon,G0019,7,T1018 (discovery); T1046 (discovery); T1047 (execution),"T1053.005 (execution, persistence, privilege-escalation)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Tonto Team,G0131,7,T1003 (credential-access); T1068 (privilege-escalation),T1059.001 (execution); T1059.006 (execution); T1505.003 (persistence)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Deep Panda,G0009,7,T1018 (discovery); T1047 (execution),T1021.002 (lateral-movement); T1059.001 (execution); T1505.003 (persistence)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,FIN10,G0051,7,T1570 (lateral-movement),"T1021.001 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1070.004 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Stealth Falcon,G0038,6,T1047 (execution); T1059 (execution),"T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,FIN5,G0053,6,T1018 (discovery); T1059 (execution),T1070.001 (defense-evasion); T1070.004 (defense-evasion)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Cinnamon Tempest,G1021,6,T1047 (execution),T1021.002 (lateral-movement); T1059.001 (execution); T1059.003 (execution); T1059.006 (execution)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,HEXANE,G1001,6,T1018 (discovery),"T1021.001 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.005 (execution)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,LAPSUS$,G1004,6,T1068 (privilege-escalation),T1003.003 (credential-access); T1003.006 (credential-access); T1098.003 (persistence); T1136.003 (persistence)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,TA2541,G1018,6,T1047 (execution),"T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.005 (execution); T1562.001 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,APT37,G0067,6,T1059 (execution),"T1053.005 (execution, persistence, privilege-escalation); T1059.003 (execution); T1059.005 (execution); T1059.006 (execution)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Storm-1811,G1046,6,T1570 (lateral-movement),T1021.002 (lateral-movement); T1021.004 (lateral-movement); T1059.001 (execution); T1059.003 (execution)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Saint Bear,G1031,6,T1059 (execution),T1059.001 (execution); T1059.003 (execution); T1059.007 (execution); T1562.001 (defense-evasion)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Salt Typhoon,G1045,6,T1136 (persistence),T1021.004 (lateral-movement); T1070.002 (defense-evasion); T1098.004 (persistence); T1562.004 (defense-evasion)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Winter Vivern,G1035,6,T1059 (execution),"T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.007 (execution)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Patchwork,G0040,6,,"T1021.001 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.005 (execution); T1070.004 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Suckfly,G0039,5,T1003 (credential-access); T1046 (discovery),T1059.003 (execution)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Whitefly,G0107,5,T1059 (execution); T1068 (privilege-escalation),T1003.001 (credential-access)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Akira,G1024,5,T1018 (discovery),T1021.001 (lateral-movement); T1059.001 (execution); T1562.001 (defense-evasion)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Tropic Trooper,G0081,5,T1046 (discovery),T1059.003 (execution); T1070.004 (defense-evasion); T1505.003 (persistence)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,TA505,G0092,5,,T1059.001 (execution); T1059.003 (execution); T1059.005 (execution); T1059.007 (execution); T1562.001 (defense-evasion)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,ZIRCONIUM,G0128,4,T1068 (privilege-escalation),T1059.003 (execution); T1059.006 (execution)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,MoustachedBouncer,G1019,4,T1068 (privilege-escalation),T1059.001 (execution); T1059.007 (execution)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Daggerfly,G1034,4,,"T1003.002 (credential-access); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1136.001 (persistence)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Gorgon Group,G0078,4,,T1059.001 (execution); T1059.003 (execution); T1059.005 (execution); T1562.001 (defense-evasion)
