file,group_name,group_id,score,matched_exact,matched_root_only,rank
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Magic Hound,G0059,92,"T1003.001, T1005, T1016, T1016.001, T1018, T1033, T1036.004, T1036.005, T1046, T1047, T1049, T1053.005, T1057, T1059.001, T1059.003, T1070.004, T1071, T1071.001, T1078.002, T1082, T1083, T1087.003, T1102.002, T1105, T1112, T1190, T1204.002, T1482, T1486, T1505.003, T1560.001, T1562, T1562.001, T1564.003, T1567, T1570, T1571, T1572","T1016.002, T1021.001, T1027.010, T1027.013, T1036.010, T1059.005, T1070.003, T1078.001, T1098.002, T1098.007, T1136.001, T1204.001, T1562.002, T1562.004, T1566.002, T1566.003",3.0
CISA-aa23-347a-russian-foreign-intelligence-service-svr-exploiti-44318107,MuddyWater,G0069,40,"T1003.001, T1033, T1041, T1047, T1049, T1053.005, T1057, T1059.001, T1059.003, T1190, T1203, T1210, T1555.003, T1562.001","T1003.004, T1003.005, T1027.003, T1027.004, T1027.010, T1036.005, T1059.005, T1059.006, T1059.007, T1547.001, T1555, T1574.001",3.0
Kaspersky-cascade-of-compromise-unveiling-Lazarus-new-campaign-1-d88076ab,Kimsuky,G0094,24,"T1003.001, T1027.002, T1041, T1057, T1071.001, T1082, T1083, T1113, T1140, T1620","T1027, T1071.002, T1071.003, T1547.001",3.0
CISA-AA22-011A-TLP-WHITE-01-10-22-v1-01-11-2022-61a5eb27,Volt Typhoon,G1017,23,"T1003.003, T1059.003, T1078, T1090.003, T1190, T1552.004, T1555","T1003.001, T1059.001, T1059.004, T1078.002, T1090, T1090.001, T1552, T1555.003, T1587.004",3.0
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Kimsuky,G0094,90,"T1003.001, T1005, T1007, T1012, T1016, T1027, T1036.004, T1036.005, T1041, T1053.005, T1055, T1055.012, T1057, T1059.001, T1059.003, T1070.004, T1071.001, T1082, T1083, T1102.002, T1105, T1112, T1190, T1204.002, T1505.003, T1518.001, T1543.003, T1550.002, T1552.001, T1555.003, T1560.001, T1562.001, T1564.003, T1566, T1566.001, T1567.002","T1021.001, T1027.002, T1059.005, T1059.006, T1059.007, T1070.006, T1071.002, T1071.003, T1078.003, T1098.007, T1102.001, T1136.001, T1204.001, T1546.001, T1560.003, T1562.004, T1564.002, T1566.002",4.0
CISA-aa23-347a-russian-foreign-intelligence-service-svr-exploiti-44318107,OilRig,G0049,39,"T1003.001, T1033, T1036, T1046, T1047, T1049, T1053.005, T1057, T1059.001, T1059.003, T1068, T1203, T1555.003, T1572","T1003.004, T1003.005, T1027.005, T1027.013, T1036.005, T1059, T1059.005, T1505.003, T1555, T1555.004, T1562.004",4.0
Kaspersky-cascade-of-compromise-unveiling-Lazarus-new-campaign-1-d88076ab,APT28,G0007,23,"T1003.001, T1057, T1071.001, T1083, T1113, T1140, T1189, T1203, T1573.001","T1003, T1003.003, T1027.013, T1071.003, T1547.001",4.0
CISA-AA22-011A-TLP-WHITE-01-10-22-v1-01-11-2022-61a5eb27,APT41,G0096,22,"T1003.003, T1059.003, T1078, T1190, T1195.002, T1555, T1595.002","T1003.001, T1003.002, T1059.001, T1059.004, T1090, T1110, T1555.003, T1595.003",4.0
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Wizard Spider,G0102,89,"T1003.001, T1003.002, T1003.003, T1005, T1016, T1018, T1021, T1021.002, T1033, T1036.004, T1041, T1047, T1053.005, T1055, T1055.001, T1059.001, T1059.003, T1070.004, T1071.001, T1078, T1078.002, T1082, T1087.002, T1105, T1112, T1135, T1136.002, T1197, T1204.002, T1489, T1518, T1518.001, T1543.003, T1550.002, T1552.006, T1560.001, T1562.001, T1566.001, T1567.002, T1569.002, T1570","T1021.001, T1021.006, T1027.010, T1136.001, T1204.001, T1555.004, T1566.002",5.0
Kaspersky-cascade-of-compromise-unveiling-Lazarus-new-campaign-1-d88076ab,BRONZE BUTLER,G0060,22,"T1003.001, T1027.001, T1071.001, T1083, T1113, T1140, T1189, T1203, T1573.001","T1027.003, T1132.001, T1547.001, T1574.001",5.0
CISA-AA22-011A-TLP-WHITE-01-10-22-v1-01-11-2022-61a5eb27,Dragonfly,G0035,21,"T1003.003, T1059.003, T1078, T1190, T1195.002, T1595.002","T1003.002, T1003.004, T1059, T1059.001, T1059.006, T1110, T1110.002, T1598.002, T1598.003",5.0
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,OilRig,G0049,86,"T1003.001, T1003.004, T1003.005, T1005, T1007, T1012, T1016, T1033, T1036, T1036.005, T1046, T1047, T1049, T1053.005, T1057, T1059, T1059.001, T1059.003, T1069.002, T1070.004, T1071.001, T1078, T1078.002, T1082, T1087.001, T1087.002, T1105, T1112, T1119, T1204.002, T1505.003, T1543.003, T1552.001, T1555, T1555.003, T1566.001, T1572","T1021.001, T1021.004, T1027.005, T1027.013, T1059.005, T1069.001, T1071.004, T1204.001, T1555.004, T1562.004, T1566.002, T1566.003",6.0
CISA-aa23-347a-russian-foreign-intelligence-service-svr-exploiti-44318107,APT41,G0096,39,"T1003.001, T1003.002, T1033, T1046, T1047, T1049, T1053.005, T1055, T1059.001, T1059.003, T1190, T1203, T1555.003","T1003.003, T1027, T1027.002, T1036.004, T1036.005, T1059.004, T1098.007, T1547.001, T1555, T1562.006, T1568.002, T1574.001, T1574.006",6.0
Kaspersky-cascade-of-compromise-unveiling-Lazarus-new-campaign-1-d88076ab,APT32,G0050,22,"T1003.001, T1041, T1071.001, T1082, T1083, T1189, T1203","T1003, T1027.010, T1027.011, T1027.013, T1027.016, T1071.003, T1547.001, T1574.001",6.0
CISA-AA22-011A-TLP-WHITE-01-10-22-v1-01-11-2022-61a5eb27,Sandworm Team,G0034,20,"T1003.003, T1078, T1190, T1195.002, T1587.001, T1595.002","T1003.001, T1059.001, T1059.005, T1078.002, T1090, T1195, T1555.003, T1598.003",6.0
CISA-aa23-347a-russian-foreign-intelligence-service-svr-exploiti-44318107,Threat Group-3390,G0027,36,"T1003.001, T1003.002, T1033, T1046, T1047, T1049, T1059.001, T1059.003, T1068, T1190, T1203, T1210","T1003.004, T1027.002, T1027.013, T1027.015, T1053.002, T1055.012, T1505.003, T1547.001, T1555.005, T1562.002, T1567.002, T1574.001",7.0
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,APT39,G0087,21,"T1003, T1018, T1046, T1059","T1003.001, T1021.001, T1021.002, T1021.004, T1053.005, T1059.001, T1059.005, T1059.006, T1059.010, T1070.004, T1136.001, T1505.003, T1569.002",7.0
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Chimera,G0114,82,"T1003.003, T1007, T1012, T1016, T1018, T1021.002, T1033, T1036.005, T1041, T1046, T1047, T1049, T1053.005, T1057, T1059.001, T1059.003, T1070.001, T1070.004, T1071.001, T1078, T1078.002, T1082, T1083, T1087.001, T1087.002, T1105, T1106, T1119, T1124, T1135, T1482, T1550.002, T1560.001, T1567.002, T1569.002, T1570, T1572, T1574.001","T1021.001, T1021.006, T1027.010, T1069.001, T1070.006, T1071.004",8.0
CISA-aa23-347a-russian-foreign-intelligence-service-svr-exploiti-44318107,Volt Typhoon,G1017,35,"T1003.001, T1033, T1046, T1047, T1049, T1057, T1059.001, T1059.003, T1068, T1190, T1555.003, T1590, T1590.004","T1003.003, T1027.002, T1036.005, T1036.008, T1059.004, T1505.003, T1555, T1590.006, T1592",8.0
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Volt Typhoon,G1017,81,"T1003.001, T1003.003, T1005, T1007, T1012, T1016, T1016.001, T1018, T1033, T1036.005, T1046, T1047, T1049, T1057, T1059.001, T1059.003, T1069, T1069.002, T1070.001, T1070.004, T1078, T1078.002, T1082, T1083, T1087.001, T1087.002, T1105, T1112, T1124, T1190, T1505.003, T1518, T1552, T1555, T1555.003, T1560.001, T1570","T1021.001, T1027.002, T1036.008, T1059.004, T1069.001, T1070.007, T1552.004",9.0
CISA-aa23-347a-russian-foreign-intelligence-service-svr-exploiti-44318107,Kimsuky,G0094,35,"T1003.001, T1041, T1053.005, T1055, T1057, T1059.001, T1059.003, T1190, T1555.003, T1562.001","T1027, T1027.002, T1036.004, T1036.005, T1055.012, T1059.005, T1059.006, T1059.007, T1098.007, T1505.003, T1547.001, T1562.004, T1564.002, T1564.003, T1567.002",9.0
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Ember Bear,G1003,20,"T1003, T1018, T1021, T1046, T1047, T1570","T1003.001, T1003.002, T1003.004, T1053.005, T1059.001, T1070.004, T1505.003, T1562.001",9.0
Kaspersky-cascade-of-compromise-unveiling-Lazarus-new-campaign-1-d88076ab,OilRig,G0049,20,"T1003.001, T1057, T1071.001, T1082, T1113, T1140, T1203","T1003.004, T1003.005, T1027.005, T1027.013, T1071.004, T1573.002",9.0
CISA-aa23-347a-russian-foreign-intelligence-service-svr-exploiti-44318107,FIN13,G1016,34,"T1003.001, T1003.002, T1036, T1046, T1047, T1049, T1053.005, T1059.001, T1059.003, T1190, T1564.001, T1572, T1590.004","T1003.003, T1036.004, T1036.005, T1059.005, T1098.007, T1505.003, T1547.001, T1574.001",10.0
Kaspersky-cascade-of-compromise-unveiling-Lazarus-new-campaign-1-d88076ab,Ke3chang,G0004,20,"T1003.001, T1041, T1057, T1071.001, T1082, T1083, T1140","T1003.002, T1003.003, T1003.004, T1027, T1071.004, T1547.001",10.0
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,APT41,G0096,100,"T1003.001 (credential-access); T1003.002 (credential-access); T1003.003 (credential-access); T1005 (collection); T1012 (discovery); T1016 (discovery); T1018 (discovery); T1021.002 (lateral-movement); T1027 (defense-evasion); T1033 (discovery); T1036.004 (defense-evasion); T1036.005 (defense-evasion); T1046 (discovery); T1047 (execution); T1049 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1055 (defense-evasion, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1069 (discovery); T1070.001 (defense-evasion); T1070.004 (defense-evasion); T1071.001 (command-and-control); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1082 (discovery); T1083 (discovery); T1087.001 (discovery); T1087.002 (discovery); T1105 (command-and-control); T1112 (defense-evasion); T1135 (discovery); T1190 (initial-access); T1197 (defense-evasion, persistence); T1486 (impact); T1543.003 (persistence, privilege-escalation); T1546.008 (persistence, privilege-escalation); T1550.002 (defense-evasion, lateral-movement); T1555 (credential-access); T1555.003 (credential-access); T1560.001 (collection); T1566.001 (initial-access); T1569.002 (execution); T1570 (lateral-movement); T1574.001 (defense-evasion, persistence, privilege-escalation)","T1021.001 (lateral-movement); T1027.002 (defense-evasion); T1059.004 (execution); T1070.003 (defense-evasion); T1071.002 (command-and-control); T1071.004 (command-and-control); T1098.007 (); T1102.001 (command-and-control); T1136.001 (persistence); T1496.001 (); T1562.006 (defense-evasion); T1574.006 (defense-evasion, persistence, privilege-escalation)",
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,APT32,G0050,96,"T1003 (credential-access); T1003.001 (credential-access); T1012 (discovery); T1016 (discovery); T1018 (discovery); T1021.002 (lateral-movement); T1033 (discovery); T1036 (defense-evasion); T1036.004 (defense-evasion); T1036.005 (defense-evasion); T1041 (exfiltration); T1046 (discovery); T1047 (execution); T1049 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1055 (defense-evasion, privilege-escalation); T1059 (execution); T1059.001 (execution); T1059.003 (execution); T1070.001 (defense-evasion); T1070.004 (defense-evasion); T1071.001 (command-and-control); T1082 (discovery); T1083 (discovery); T1087.001 (discovery); T1102 (command-and-control); T1105 (command-and-control); T1112 (defense-evasion); T1135 (discovery); T1204.002 (execution); T1505.003 (persistence); T1543.003 (persistence, privilege-escalation); T1550.002 (defense-evasion, lateral-movement); T1560 (collection); T1564.003 (defense-evasion); T1566.001 (initial-access); T1569.002 (execution); T1570 (lateral-movement); T1571 (command-and-control); T1574.001 (defense-evasion, persistence, privilege-escalation)","T1027.010 (); T1027.011 (); T1027.013 (); T1027.016 (); T1036.003 (defense-evasion); T1059.005 (execution); T1059.007 (execution); T1070.006 (defense-evasion); T1071.003 (command-and-control); T1078.003 (defense-evasion, initial-access, persistence, privilege-escalation); T1204.001 (execution); T1550.003 (defense-evasion, lateral-movement); T1552.002 (credential-access); T1564.001 (defense-evasion); T1564.004 (defense-evasion); T1566.002 (initial-access)",
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Magic Hound,G0059,92,"T1003.001 (credential-access); T1005 (collection); T1016 (discovery); T1016.001 (discovery); T1018 (discovery); T1033 (discovery); T1036.004 (defense-evasion); T1036.005 (defense-evasion); T1046 (discovery); T1047 (execution); T1049 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1057 (discovery); T1059.001 (execution); T1059.003 (execution); T1070.004 (defense-evasion); T1071 (command-and-control); T1071.001 (command-and-control); T1078.002 (defense-evasion, initial-access, persistence, privilege-escalation); T1082 (discovery); T1083 (discovery); T1087.003 (discovery); T1102.002 (command-and-control); T1105 (command-and-control); T1112 (defense-evasion); T1190 (initial-access); T1204.002 (execution); T1482 (discovery); T1486 (impact); T1505.003 (persistence); T1560.001 (collection); T1562 (defense-evasion); T1562.001 (defense-evasion); T1564.003 (defense-evasion); T1567 (exfiltration); T1570 (lateral-movement); T1571 (command-and-control); T1572 (command-and-control)","T1016.002 (); T1021.001 (lateral-movement); T1027.010 (); T1027.013 (); T1036.010 (); T1059.005 (execution); T1070.003 (defense-evasion); T1078.001 (defense-evasion, initial-access, persistence, privilege-escalation); T1098.002 (persistence); T1098.007 (); T1136.001 (persistence); T1204.001 (execution); T1562.002 (defense-evasion); T1562.004 (defense-evasion); T1566.002 (initial-access); T1566.003 (initial-access)",
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Kimsuky,G0094,90,"T1003.001 (credential-access); T1005 (collection); T1007 (discovery); T1012 (discovery); T1016 (discovery); T1027 (defense-evasion); T1036.004 (defense-evasion); T1036.005 (defense-evasion); T1041 (exfiltration); T1053.005 (execution, persistence, privilege-escalation); T1055 (defense-evasion, privilege-escalation); T1055.012 (defense-evasion, privilege-escalation); T1057 (discovery); T1059.001 (execution); T1059.003 (execution); T1070.004 (defense-evasion); T1071.001 (command-and-control); T1082 (discovery); T1083 (discovery); T1102.002 (command-and-control); T1105 (command-and-control); T1112 (defense-evasion); T1190 (initial-access); T1204.002 (execution); T1505.003 (persistence); T1518.001 (discovery); T1543.003 (persistence, privilege-escalation); T1550.002 (defense-evasion, lateral-movement); T1552.001 (credential-access); T1555.003 (credential-access); T1560.001 (collection); T1562.001 (defense-evasion); T1564.003 (defense-evasion); T1566 (initial-access); T1566.001 (initial-access); T1567.002 (exfiltration)","T1021.001 (lateral-movement); T1027.002 (defense-evasion); T1059.005 (execution); T1059.006 (execution); T1059.007 (execution); T1070.006 (defense-evasion); T1071.002 (command-and-control); T1071.003 (command-and-control); T1078.003 (defense-evasion, initial-access, persistence, privilege-escalation); T1098.007 (); T1102.001 (command-and-control); T1136.001 (persistence); T1204.001 (execution); T1546.001 (persistence, privilege-escalation); T1560.003 (collection); T1562.004 (defense-evasion); T1564.002 (defense-evasion); T1566.002 (initial-access)",
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Wizard Spider,G0102,89,"T1003.001 (credential-access); T1003.002 (credential-access); T1003.003 (credential-access); T1005 (collection); T1016 (discovery); T1018 (discovery); T1021 (lateral-movement); T1021.002 (lateral-movement); T1033 (discovery); T1036.004 (defense-evasion); T1041 (exfiltration); T1047 (execution); T1053.005 (execution, persistence, privilege-escalation); T1055 (defense-evasion, privilege-escalation); T1055.001 (defense-evasion, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1070.004 (defense-evasion); T1071.001 (command-and-control); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1078.002 (defense-evasion, initial-access, persistence, privilege-escalation); T1082 (discovery); T1087.002 (discovery); T1105 (command-and-control); T1112 (defense-evasion); T1135 (discovery); T1136.002 (persistence); T1197 (defense-evasion, persistence); T1204.002 (execution); T1489 (impact); T1518 (discovery); T1518.001 (discovery); T1543.003 (persistence, privilege-escalation); T1550.002 (defense-evasion, lateral-movement); T1552.006 (credential-access); T1560.001 (collection); T1562.001 (defense-evasion); T1566.001 (initial-access); T1567.002 (exfiltration); T1569.002 (execution); T1570 (lateral-movement)",T1021.001 (lateral-movement); T1021.006 (lateral-movement); T1027.010 (); T1136.001 (persistence); T1204.001 (execution); T1555.004 (credential-access); T1566.002 (initial-access),
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,OilRig,G0049,86,"T1003.001 (credential-access); T1003.004 (credential-access); T1003.005 (credential-access); T1005 (collection); T1007 (discovery); T1012 (discovery); T1016 (discovery); T1033 (discovery); T1036 (defense-evasion); T1036.005 (defense-evasion); T1046 (discovery); T1047 (execution); T1049 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1057 (discovery); T1059 (execution); T1059.001 (execution); T1059.003 (execution); T1069.002 (discovery); T1070.004 (defense-evasion); T1071.001 (command-and-control); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1078.002 (defense-evasion, initial-access, persistence, privilege-escalation); T1082 (discovery); T1087.001 (discovery); T1087.002 (discovery); T1105 (command-and-control); T1112 (defense-evasion); T1119 (collection); T1204.002 (execution); T1505.003 (persistence); T1543.003 (persistence, privilege-escalation); T1552.001 (credential-access); T1555 (credential-access); T1555.003 (credential-access); T1566.001 (initial-access); T1572 (command-and-control)",T1021.001 (lateral-movement); T1021.004 (lateral-movement); T1027.005 (defense-evasion); T1027.013 (); T1059.005 (execution); T1069.001 (discovery); T1071.004 (command-and-control); T1204.001 (execution); T1555.004 (credential-access); T1562.004 (defense-evasion); T1566.002 (initial-access); T1566.003 (initial-access),
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Chimera,G0114,82,"T1003.003 (credential-access); T1007 (discovery); T1012 (discovery); T1016 (discovery); T1018 (discovery); T1021.002 (lateral-movement); T1033 (discovery); T1036.005 (defense-evasion); T1041 (exfiltration); T1046 (discovery); T1047 (execution); T1049 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1057 (discovery); T1059.001 (execution); T1059.003 (execution); T1070.001 (defense-evasion); T1070.004 (defense-evasion); T1071.001 (command-and-control); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1078.002 (defense-evasion, initial-access, persistence, privilege-escalation); T1082 (discovery); T1083 (discovery); T1087.001 (discovery); T1087.002 (discovery); T1105 (command-and-control); T1106 (execution); T1119 (collection); T1124 (discovery); T1135 (discovery); T1482 (discovery); T1550.002 (defense-evasion, lateral-movement); T1560.001 (collection); T1567.002 (exfiltration); T1569.002 (execution); T1570 (lateral-movement); T1572 (command-and-control); T1574.001 (defense-evasion, persistence, privilege-escalation)",T1021.001 (lateral-movement); T1021.006 (lateral-movement); T1027.010 (); T1069.001 (discovery); T1070.006 (defense-evasion); T1071.004 (command-and-control),
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Volt Typhoon,G1017,81,"T1003.001 (credential-access); T1003.003 (credential-access); T1005 (collection); T1007 (discovery); T1012 (discovery); T1016 (discovery); T1016.001 (discovery); T1018 (discovery); T1033 (discovery); T1036.005 (defense-evasion); T1046 (discovery); T1047 (execution); T1049 (discovery); T1057 (discovery); T1059.001 (execution); T1059.003 (execution); T1069 (discovery); T1069.002 (discovery); T1070.001 (defense-evasion); T1070.004 (defense-evasion); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1078.002 (defense-evasion, initial-access, persistence, privilege-escalation); T1082 (discovery); T1083 (discovery); T1087.001 (discovery); T1087.002 (discovery); T1105 (command-and-control); T1112 (defense-evasion); T1124 (discovery); T1190 (initial-access); T1505.003 (persistence); T1518 (discovery); T1552 (credential-access); T1555 (credential-access); T1555.003 (credential-access); T1560.001 (collection); T1570 (lateral-movement)",T1021.001 (lateral-movement); T1027.002 (defense-evasion); T1036.008 (); T1059.004 (execution); T1069.001 (discovery); T1070.007 (); T1552.004 (credential-access),
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,BlackByte,G1043,73,"T1003 (credential-access); T1012 (discovery); T1016 (discovery); T1018 (discovery); T1021.002 (lateral-movement); T1041 (exfiltration); T1046 (discovery); T1047 (execution); T1053.005 (execution, persistence, privilege-escalation); T1055 (defense-evasion, privilege-escalation); T1055.012 (defense-evasion, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1070.004 (defense-evasion); T1071.001 (command-and-control); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1078.002 (defense-evasion, initial-access, persistence, privilege-escalation); T1082 (discovery); T1087.002 (discovery); T1105 (command-and-control); T1112 (defense-evasion); T1135 (discovery); T1136.002 (persistence); T1190 (initial-access); T1482 (discovery); T1486 (impact); T1505.003 (persistence); T1518.001 (discovery); T1543.003 (persistence, privilege-escalation); T1560 (collection); T1562 (defense-evasion); T1562.001 (defense-evasion); T1567 (exfiltration); T1569.002 (execution); T1570 (lateral-movement)",T1021.001 (lateral-movement); T1036.008 (); T1562.004 (defense-evasion),
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Sandworm Team,G0034,72,"T1003.001 (credential-access); T1003.003 (credential-access); T1005 (collection); T1018 (discovery); T1021.002 (lateral-movement); T1027 (defense-evasion); T1033 (discovery); T1036 (defense-evasion); T1036.005 (defense-evasion); T1041 (exfiltration); T1047 (execution); T1049 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1070.004 (defense-evasion); T1071.001 (command-and-control); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1078.002 (defense-evasion, initial-access, persistence, privilege-escalation); T1082 (discovery); T1083 (discovery); T1087.002 (discovery); T1087.003 (discovery); T1102.002 (command-and-control); T1105 (command-and-control); T1106 (execution); T1190 (initial-access); T1204.002 (execution); T1486 (impact); T1489 (impact); T1505.003 (persistence); T1555.003 (credential-access); T1566.001 (initial-access); T1570 (lateral-movement); T1571 (command-and-control)",T1027.010 (); T1059.005 (execution); T1204.001 (execution); T1566.002 (initial-access),
