target id,target name,mapping description
T1003.007,Proc Filesystem,"Ensure that root accounts have complex, unique passwords across all systems on the network | Follow best practices in restricting access to privileged accounts to avoid hostile programs from accessing sensitive information"
T1003.008,/etc/passwd and /etc/shadow,"Ensure that root accounts have complex, unique passwords across all systems on the network | Follow best practices in restricting access to privileged accounts to avoid hostile programs from accessing such sensitive information"
T1003,OS Credential Dumping,"Manage the access control list for “Replicating Directory Changes All” and other permissions associated with domain controller replication. (Citation: AdSecurity DCSync Sept 2015) (Citation: Microsoft Replication ACL) Consider adding users to the ""Protected Users"" Active Directory security group. This can help limit the caching of users' plaintext credentials.(Citation: Microsoft Protected Users Security Group | On Windows 10, enable Attack Surface Reduction (ASR) rules to secure LSASS and prevent credential stealing. (Citation: win10_asr | With Windows 10, Microsoft implemented new protections called Credential Guard to protect the LSA secrets that can be used to obtain credentials through forms of credential dumping. It is not configured by default and has hardware and firmware system requirements. (Citation: TechNet Credential Guard) It also does not protect against all forms of credential dumping. (Citation: GitHub SHB Credential Guard | Ensure Domain Controller backups are properly secured | Consider disabling or restricting NTLM.(Citation: Microsoft Disable NTLM Nov 2012) Consider disabling WDigest authentication.(Citation: Microsoft WDigest Mit | Ensure that local administrator accounts have complex, unique passwords across all systems on the network | Windows: Do not put user or admin domain accounts in the local administrator groups across systems unless they are tightly controlled, as this is often equivalent to having a local administrator account with the same password on all systems. Follow best practices for design and administration of an enterprise network to limit privileged account use across administrative tiers.(Citation: Microsoft Securing Privileged Access) Linux: Scraping the passwords from memory requires root privileges. Follow best practices in restricting access to privileged accounts to avoid hostile programs from accessing such sensitive regions of memory | On Windows 8.1 and Windows Server 2012 R2, enable Protected Process Light for LSA.(Citation: Microsoft LSA | Limit credential overlap across accounts and systems by training users and administrators not to use the same password for multiple accounts"
T1005,Data from Local System,Data loss prevention can restrict access to sensitive data and detect sensitive data that is unencrypted
T1008,Fallback Channels,"Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools. (Citation: University of Birmingham C2"
T1020.001,Traffic Duplication,"Implement Data Loss Prevention (DLP) solutions to monitor, detect, and control the flow of sensitive information. DLP tools can be configured to block unauthorized attempts to exfiltrate data, such as preventing emails from being forwarded to external recipients or monitoring for suspicious data transfers. By creating email flow rules and applying policies to detect anomalies, DLP solutions help mitigate the risk of data exfiltration over alternative protocols | Ensure that all wired and/or wireless traffic is encrypted appropriately. Use best practices for authentication protocols, such as Kerberos, and ensure web traffic that may contain credentials is protected by SSL/TLS | In cloud environments, ensure that users are not granted permissions to create or modify traffic mirrors unless this is explicitly required"
T1021.001,Remote Desktop Protocol,Audit the Remote Desktop Users group membership regularly. Remove unnecessary accounts and groups from Remote Desktop Users groups | Disable the RDP service if it is unnecessary | Use remote desktop gateways | Use multi-factor authentication for remote logins.(Citation: Berkley Secure | Do not leave RDP accessible from the internet. Enable firewall rules to block RDP traffic between network security zones within a network | Change GPOs to define shorter timeouts sessions and maximum amount of time any single session can be active. Change GPOs to specify the maximum amount of time that a disconnected session stays active on the RD session host server.(Citation: Windows RDP Sessions | Consider removing the local Administrators group from the list of groups allowed to log in through RDP | Limit remote user permissions if remote access is necessary
T1021.002,SMB/Windows Admin Shares,Consider using the host firewall to restrict file sharing communications such as SMB. (Citation: Microsoft Preventing SMB | Consider disabling Windows administrative shares | Do not reuse local administrator account passwords across systems. Ensure password complexity and uniqueness such that the passwords cannot be cracked or guessed | Deny remote use of local admin credentials to log into systems. Do not allow domain user accounts to be in the local Administrators group multiple systems
T1021.003,Distributed Component Object Model,"Ensure all COM alerts and Protected View are enabled.(Citation: Microsoft Protected View | Consider disabling DCOM through Dcomcnfg.exe.(Citation: Microsoft Disable DCOM | Enable Windows firewall, which prevents DCOM instantiation by default | Modify Registry settings (directly or using Dcomcnfg.exe) in `HKEY_LOCAL_MACHINE\SOFTWARE\Classes\AppID\{{AppID_GUID}}` associated with the process-wide security of individual COM applications.(Citation: Microsoft Process Wide Com Keys) Modify Registry settings (directly or using Dcomcnfg.exe) in `HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Ole` associated with system-wide security defaults for all COM applications that do not set their own process-wide security.(Citation: Microsoft System Wide Com Keys) (Citation: Microsoft COM ACL"
T1021.004,SSH,"Disable the SSH daemon on systems that do not require it, especially ESXi servers. For macOS, ensure Remote Login is disabled under Sharing Preferences.(Citation: Apple Unified Log Analysis Remote Login and Screen Sharing | Require multi-factor authentication for SSH connections wherever possible, such as password protected SSH keys | Limit which user accounts are allowed to login via SSH"
T1021.005,VNC,"Inventory workstations for unauthorized VNC server software | Uninstall any VNC server software where not required | VNC defaults to TCP ports 5900 for the server, 5800 for browser access, and 5500 for a viewer in listening mode. Filtering or blocking these ports will inhibit VNC traffic utilizing default ports | Restrict software installation to user groups that require it. A VNC server must be manually installed by the user or adversary"
T1021.006,Windows Remote Management,"Disable the WinRM service | If the service is necessary, lock down critical enclaves with separate WinRM infrastructure and follow WinRM best practices on use of host firewalls to restrict WinRM access to allow communication only to/from specific devices.(Citation: NSA Spotting | If the service is necessary, lock down critical enclaves with separate WinRM accounts and permissions"
T1021.007,Cloud Services,"Use multi-factor authentication on cloud services whenever possible | Limit the number of high-privileged domain and cloud accounts, and ensure that these are not used for day-to-day operations. Ensure that on-premises accounts do not have privileged cloud permissions and that isolated, cloud-only accounts are used for managing cloud environments.(Citation: Protecting Microsoft 365 From On-Premises Attacks"
T1021.008,Direct Cloud VM Connections,"If direct virtual machine connections are not required for administrative use, disable these connection types where feasible | Limit which users are allowed to access compute infrastructure via cloud native methods"
T1021,Remote Services,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses | If remote services, such as the ability to make direct connections to cloud virtual machines, are not required, disable these connection types where feasible. On ESXi servers, consider enabling lockdown mode, which disables direct access to an ESXi host and requires that the host be managed remotely using vCenter.(Citation: Google Cloud Threat Intelligence ESXi Hardening 2023)(Citation: Broadcom ESXi Lockdown Mode | Prevent unnecessary remote access to file shares, hypervisors, sensitive systems, etc. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc.(Citation: Sygnia ESXi Ransomware 2024 | Use multi-factor authentication on remote service logons where possible | Do not reuse local administrator account passwords across systems. Ensure password complexity and uniqueness such that the passwords cannot be cracked or guessed | Limit the accounts that may use remote services. Limit the permissions for accounts that are at higher risk of compromise; for example, configure SSH so users can only run specific programs"
T1027.002,Software Packing,Employ heuristic-based malware detection. Ensure updated virus definitions and create custom signatures for observed malware
T1027.006,HTML Smuggling,"Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist"
T1027.009,Embedded Payloads,"Anti-virus can be used to automatically detect and quarantine suspicious files | On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent execution of potentially obfuscated scripts.(Citation: win10_asr"
T1027.010,Command Obfuscation,"Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10+ to analyze commands after being processed/interpreted | On Windows 10+, enable Attack Surface Reduction (ASR) rules to block execution of potentially obfuscated scripts.(Citation: Microsoft ASR Obfuscation"
T1027.011,Fileless Storage,Consider periodic review of common fileless storage locations (such as the Registry or WMI repository) to potentially identify abnormal and malicious data
T1027.012,LNK Icon Smuggling,"Use signatures or heuristics to detect malicious LNK and subsequently downloaded files | On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent execution of potentially obfuscated scripts or payloads"
T1027.013,Encrypted/Encoded File,"Anti-virus can be used to automatically detect and quarantine suspicious files, including those with high entropy measurements or with otherwise potentially malicious signs of obfuscation | On Windows 10+, enable Attack Surface Reduction (ASR) rules to block execution of potentially obfuscated scripts.(Citation: Obfuscated scripts) Security tools should be configured to analyze the encoding properties of files and detect anomalies that deviate from standard encoding practices"
T1027.014,Polymorphic Code,"Anti-virus can be used to automatically detect and quarantine suspicious files. Employment of advanced anti-malware techniques that make use of technologies like machine learning and behavior-based mechanisms to conduct signature-less malware detection will also be more effective than traditional indicator-based detection methods | On Windows 10+, enable Attack Surface Reduction (ASR) rules to prevent execution of potentially obfuscated payloads"
T1027.015,Compression,"Anti-virus can be used to automatically detect and quarantine suspicious files. Consider anti-virus products capable of unpacking and inspecting compressed files recursively, as well as analyzing SFX archives"
T1027.016,Junk Code Insertion,"Anti-virus can be used to automatically detect and quarantine suspicious files. Behavior-based detections, rather than reliance on static code analysis, may help to identify malicious files that rely heavily on junk code.(Citation: ReasonLabs"
T1027.017,SVG Smuggling,"Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist"
T1027,Obfuscated Files or Information,"Anti-virus can be used to automatically detect and quarantine suspicious files. Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10+ to analyze commands after being processed/interpreted. (Citation: Microsoft AMSI June 2015 | Consider periodic review of common fileless storage locations (such as the Registry or WMI repository) to potentially identify abnormal and malicious data | On Windows 10+, enable Attack Surface Reduction (ASR) rules to prevent execution of potentially obfuscated payloads. (Citation: win10_asr | Ensure that a finite amount of ingress points to a software deployment system exist with restricted access for those required to allow and enable newly deployed software"
T1029,Scheduled Transfer,"Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool command and control signatures over time or construct protocols in such a way to avoid detection by common defensive tools. (Citation: University of Birmingham C2"
T1030,Data Transfer Size Limits,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level
T1036.001,Invalid Code Signature,Require signed binaries
T1036.003,Rename Legitimate Utilities,Use file system access controls to protect folders such as `C:\Windows\System32`
T1036.005,Match Legitimate Resource Name or Location,Require signed binaries and images | Use tools that restrict program execution via application control by attributes other than file name for common operating system utilities that are needed | Use file system access controls to protect folders such as `C:\Windows\System32`
T1036.007,Double File Extension,"Disable the default to “hide file extensions for known file types” in Windows OS.(Citation: Seqrite DoubleExtension)(Citation: HowToGeek ShowExtension | Train users to look for double extensions in filenames, and in general use training as a way to bring awareness to common phishing and spearphishing techniques and how to raise suspicion for potentially malicious events"
T1036.008,Masquerade File Type,"Anti-virus can be used to automatically quarantine suspicious files | Implement security controls on the endpoint, such as a Host Intrusion Prevention System (HIPS), to identify and prevent execution of files with mismatching file signatures | Ensure that input sanitization is performed and that files are validated properly before execution; furthermore, implement a strict allow list to ensure that only authorized file types are processed.(Citation: file_upload_attacks_pt2) Restrict and/or block execution of files where headers and extensions do not match"
T1036.010,Masquerade Account Name,Audit user accounts to ensure that each one has a defined purpose | Consider defining and enforcing a naming convention for user accounts to more easily spot generic account names that do not fit the typical schema
T1036,Masquerading,"Anti-virus can be used to automatically quarantine suspicious files | Audit user accounts to ensure that each one has a defined purpose | Implement security controls on the endpoint, such as a Host Intrusion Prevention System (HIPS), to identify and prevent execution of potentially malicious files (such as those with mismatching file signatures | Require signed binaries | Use tools that restrict program execution via application control by attributes other than file name for common operating system utilities that are needed | Use file system access controls to protect folders such as C:\\Windows\\System32 | Consider defining and enforcing a naming convention for user accounts to more easily spot generic account names that do not fit the typical schema | Train users not to open email attachments or click unknown links (URLs). Such training fosters more secure habits within your organization and will limit many of the risks"
T1041,Exfiltration Over C2 Channel,"Data loss prevention can detect and block sensitive data being sent over unencrypted protocols | Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool command and control signatures over time or construct protocols in such a way to avoid detection by common defensive tools. (Citation: University of Birmingham C2"
T1046,Network Service Discovery,Ensure that unnecessary ports and services are closed to prevent risk of discovery and potential exploitation | Use network intrusion detection/prevention systems to detect and prevent remote service scans | Ensure proper network segmentation is followed to protect critical servers and devices
T1047,Windows Management Instrumentation,"On Windows 10, enable Attack Surface Reduction (ASR) rules to block processes created by WMI commands from running. Note: many legitimate tools and applications utilize WMI for command execution. (Citation: win10_asr | Use application control configured to block execution of <code>wmic.exe</code> if it is not required for a given system or network to prevent potential misuse by adversaries. For example, in Windows 10 and Windows Server 2016 and above, Windows Defender Application Control (WDAC) policy rules may be applied to block the <code>wmic.exe</code> application and to prevent abuse.(Citation: Microsoft WDAC | Prevent credential overlap across systems of administrator and privileged accounts. (Citation: FireEye WMI 2015 | By default, only administrators are allowed to connect remotely using WMI. Restrict other users who are allowed to connect, or disallow all users to connect remotely to WMI"
T1053.002,At,"Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges. (Citation: Powersploit) Windows operating system also creates a registry key specifically associated with the creation of a scheduled task on the destination host at: Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tree\At1. (Citation: Secureworks - AT.exe Scheduled Task) In Linux and macOS environments, scheduled tasks using <code>[at](https://attack.mitre.org/software/S0110)</code> can be audited locally, or through centrally collected logging, using syslog, or auditd events from the host. (Citation: Kifarunix - Task Scheduling in Linux | Configure settings for scheduled tasks to force tasks to run under the context of the authenticated account instead of allowing them to run as SYSTEM. The associated Registry key is located at <code>HKLM\SYSTEM\CurrentControlSet\Control\Lsa\SubmitControl</code>. The setting can be configured through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > Security Options: Domain Controller: Allow server operators to schedule tasks, set to disabled. (Citation: TechNet Server Operator Scheduled Task | Configure the Increase Scheduling Priority option to only allow the Administrators group the rights to schedule a priority process. This can be configured through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > User Rights Assignment: Increase scheduling priority. (Citation: TechNet Scheduling Priority | Limit privileges of user accounts and remediate Privilege Escalation vectors so only authorized administrators can create scheduled tasks on remote systems. In Linux environments, users account-level access to <code>[at](https://attack.mitre.org/software/S0110)</code> can be managed using <code>at.allow</code> and <code>at.deny</code> files. Users listed in the at.allow are enabled to schedule actions using at, whereas users listed in at.deny file disabled from the utility"
T1053.003,Cron,"Review changes to the <code>cron</code> schedule. <code>cron</code> execution can be reviewed within the <code>/var/log</code> directory. To validate the location of the <code>cron</code> log file, check the syslog config at <code>/etc/rsyslog.conf</code> or <code>/etc/syslog.conf</code> | <code>cron</code> permissions are controlled by <code>/etc/cron.allow and /etc/cron.deny</code>. If there is a <code>cron.allow</code> file, then the user or users that need to use <code>cron</code> will need to be listed in the file. <code>cron.deny</code> is used to explicitly disallow users from using cron. If neither files exist, then only the super user is allowed to run cron"
T1053.005,Scheduled Task,"Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges. (Citation: Powersploit | Configure settings for scheduled tasks to force tasks to run under the context of the authenticated account instead of allowing them to run as SYSTEM. The associated Registry key is located at HKLM\SYSTEM\CurrentControlSet\Control\Lsa\SubmitControl. The setting can be configured through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > Security Options: Domain Controller: Allow server operators to schedule tasks, set to disabled. (Citation: TechNet Server Operator Scheduled Task | Configure the Increase Scheduling Priority option to only allow the Administrators group the rights to schedule a priority process. This can be configured through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > User Rights Assignment: Increase scheduling priority. (Citation: TechNet Scheduling Priority | Limit privileges of user accounts and remediate Privilege Escalation vectors so only authorized administrators can create scheduled tasks on remote systems"
T1053.006,Systemd Timers,Limit access to the root account and prevent users from creating and/or modifying systemd timer unit files | Restrict read/write access to systemd <code>.timer</code> unit files to only select privileged users who have a legitimate need to manage system services | Limit user access to system utilities such as 'systemctl' or 'systemd-run' to users who have a legitimate need
T1053.007,Container Orchestration Job,"Ensure containers are not running as root by default. In Kubernetes environments, consider defining Pod Security Standards that prevent pods from running privileged containers.(Citation: Kubernetes Hardening Guide | Limit privileges of user accounts and remediate privilege escalation vectors so only authorized administrators can create container orchestration jobs"
T1053,Scheduled Task/Job,"Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges. (Citation: Powersploit | Configure settings for scheduled tasks to force tasks to run under the context of the authenticated account instead of allowing them to run as SYSTEM. The associated Registry key is located at <code>HKLM\SYSTEM\CurrentControlSet\Control\Lsa\SubmitControl</code>. The setting can be configured through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > Security Options: Domain Controller: Allow server operators to schedule tasks, set to disabled. (Citation: TechNet Server Operator Scheduled Task | Configure the Increase Scheduling Priority option to only allow the Administrators group the rights to schedule a priority process. This can be can be configured through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > User Rights Assignment: Increase scheduling priority. (Citation: TechNet Scheduling Priority | Restrict access by setting directory and file permissions that are not specific to users or privileged accounts | Limit privileges of user accounts and remediate Privilege Escalation vectors so only authorized administrators can create scheduled tasks on remote systems"
T1055.001,Dynamic-link Library Injection,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process
T1055.002,Portable Executable Injection,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process
T1055.003,Thread Execution Hijacking,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process
T1055.004,Asynchronous Procedure Call,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process
T1055.005,Thread Local Storage,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process
T1055.008,Ptrace System Calls,"Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process | Utilize Yama (ex: /proc/sys/kernel/yama/ptrace_scope) to mitigate ptrace based process injection by restricting the use of ptrace to privileged users only. Other mitigation controls involve the deployment of security kernel modules that provide advanced access control and process restrictions such as SELinux, grsecurity, and AppArmor"
T1055.009,Proc Memory,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process | Restrict the permissions on sensitive files such as <code>/proc/[pid]/maps</code> or <code>/proc/[pid]/mem</code>
T1055.011,Extra Window Memory Injection,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process
T1055.012,Process Hollowing,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process
T1055.013,Process Doppelgänging,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process
T1055.014,VDSO Hijacking,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process
T1055.015,ListPlanting,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process
T1055,Process Injection,"Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process. For example, on Windows 10, Attack Surface Reduction (ASR) rules may prevent Office applications from code injection. (Citation: win10_asr | Utilize Yama (ex: /proc/sys/kernel/yama/ptrace_scope) to mitigate ptrace based process injection by restricting the use of ptrace to privileged users only. Other mitigation controls involve the deployment of security kernel modules that provide advanced access control and process restrictions such as SELinux, grsecurity, and AppArmor"
T1059.001,PowerShell,"Anti-virus can be used to automatically quarantine suspicious files | Set PowerShell execution policy to execute only signed scripts | It may be possible to remove PowerShell from systems when not needed, but a review should be performed to assess the impact to an environment, since it could be in use for many legitimate purposes and administrative functions. Disable/restrict the WinRM Service to help prevent uses of PowerShell for remote execution | Use application control where appropriate. PowerShell Constrained Language mode can be used to restrict access to sensitive or otherwise dangerous language elements such as those used to execute arbitrary Windows APIs or files (e.g., `Add-Type`).(Citation: Microsoft PowerShell CLM | When PowerShell is necessary, consider restricting PowerShell execution policy to administrators. Be aware that there are methods of bypassing the PowerShell execution policy, depending on environment configuration.(Citation: Netspi PowerShell Execution Policy Bypass) PowerShell JEA (Just Enough Administration) may also be used to sandbox administration and limit what commands admins/users can execute through remote PowerShell sessions.(Citation: Microsoft PS JEA"
T1059.002,AppleScript,Require that all AppleScript be signed by a trusted developer ID before being executed - this will prevent random AppleScript code from executing.(Citation: applescript signing) This subjects AppleScript code to the same scrutiny as other .app files passing through Gatekeeper | Use application control where appropriate
T1059.003,Windows Command Shell,Use application control where appropriate
T1059.004,Unix Shell,"Use application control where appropriate. On ESXi hosts, the `execInstalledOnly` feature prevents binaries from being run unless they have been packaged and signed as part of a vSphere installation bundle (VIB).(Citation: Google Cloud Threat Intelligence ESXi Hardening 2023"
T1059.005,Visual Basic,"Anti-virus can be used to automatically quarantine suspicious files | On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent [Visual Basic](https://attack.mitre.org/techniques/T1059/005) scripts from executing potentially malicious downloaded content (Citation: win10_asr | Turn off or restrict access to unneeded VB components | Use application control where appropriate. VBA macros obtained from the Internet, based on the file's Mark of the Web (MOTW) attribute, may be blocked from executing in Office applications (ex: Access, Excel, PowerPoint, Visio, and Word) by default starting in Windows Version 2203.(Citation: Default VBS macros Blocking | Script blocking extensions can help prevent the execution of scripts and HTA files that may commonly be used during the exploitation process. For malicious code served up through ads, adblockers can help prevent that code from executing in the first place"
T1059.006,Python,Anti-virus can be used to automatically quarantine suspicious files | Inventory systems for unauthorized Python installations | Denylist Python where not required | Prevent users from installing Python where not required
T1059.007,JavaScript,"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent [JavaScript](https://attack.mitre.org/techniques/T1059/007) scripts from executing potentially malicious downloaded content (Citation: win10_asr | Turn off or restrict access to unneeded scripting components | Denylist scripting where appropriate | Script blocking extensions can help prevent the execution of JavaScript and HTA files that may commonly be used during the exploitation process. For malicious code served up through ads, adblockers can help prevent that code from executing in the first place"
T1059.008,Network Device CLI,"TACACS+ can keep control over which commands administrators are permitted to use through the configuration of authentication and command authorization. (Citation: Cisco IOS Software Integrity Assurance - TACACS | Use of Authentication, Authorization, and Accounting (AAA) systems will limit actions administrators can perform and provide a history of user actions to detect unauthorized use and abuse. TACACS+ can keep control over which commands administrators are permitted to use through the configuration of authentication and command authorization(Citation: Cisco IOS Software Integrity Assurance - AAA) (Citation: Cisco IOS Software Integrity Assurance - TACACS | Use of Authentication, Authorization, and Accounting (AAA) systems will limit actions users can perform and provide a history of user actions to detect unauthorized use and abuse. Ensure least privilege principles are applied to user accounts and groups so that only authorized users can perform configuration changes. (Citation: Cisco IOS Software Integrity Assurance - AAA"
T1059.009,Cloud API,Use application control where appropriate to block use of PowerShell CmdLets or other host based resources to access cloud API resources | Use of proper Identity and Access Management (IAM) with Role Based Access Control (RBAC) policies to limit actions administrators can perform and provide a history of administrative actions to detect unauthorized use and abuse
T1059.010,AutoHotKey & AutoIT,"Use application control to prevent execution of `AutoIt3.exe`, `AutoHotkey.exe`, and other related features that may not be required for a given system or network to prevent potential misuse by adversaries"
T1059.011,Lua,Inventory systems for unauthorized Lua installations | Denylist Lua interpreters where appropriate | Prevent users from installing Lua where not required
