target id,target name,mapping description
T1003,OS Credential Dumping,"Manage the access control list for “Replicating Directory Changes All” and other permissions associated with domain controller replication. (Citation: AdSecurity DCSync Sept 2015) (Citation: Microsoft Replication ACL) Consider adding users to the ""Protected Users"" Active Directory security group. This can help limit the caching of users' plaintext credentials.(Citation: Microsoft Protected Users Security Group"
T1003,OS Credential Dumping,"Windows: Do not put user or admin domain accounts in the local administrator groups across systems unless they are tightly controlled, as this is often equivalent to having a local administrator account with the same password on all systems. Follow best practices for design and administration of an enterprise network to limit privileged account use across administrative tiers.(Citation: Microsoft Securing Privileged Access) Linux: Scraping the passwords from memory requires root privileges. Follow best practices in restricting access to privileged accounts to avoid hostile programs from accessing such sensitive regions of memory"
T1003,OS Credential Dumping,"With Windows 10, Microsoft implemented new protections called Credential Guard to protect the LSA secrets that can be used to obtain credentials through forms of credential dumping. It is not configured by default and has hardware and firmware system requirements. (Citation: TechNet Credential Guard) It also does not protect against all forms of credential dumping. (Citation: GitHub SHB Credential Guard"
T1021.001,Remote Desktop Protocol,Do not leave RDP accessible from the internet. Enable firewall rules to block RDP traffic between network security zones within a network
T1021.001,Remote Desktop Protocol,Use multi-factor authentication for remote logins.(Citation: Berkley Secure
"T1021.001, T1563.002","Remote Desktop Protocol, RDP Hijacking",Audit the Remote Desktop Users group membership regularly. Remove unnecessary accounts and groups from Remote Desktop Users groups
"T1021.001, T1563.002","Remote Desktop Protocol, RDP Hijacking",Change GPOs to define shorter timeouts sessions and maximum amount of time any single session can be active. Change GPOs to specify the maximum amount of time that a disconnected session stays active on the RD session host server.(Citation: Windows RDP Sessions
"T1021.001, T1563.002","Remote Desktop Protocol, RDP Hijacking",Consider removing the local Administrators group from the list of groups allowed to log in through RDP
"T1021.001, T1563.002","Remote Desktop Protocol, RDP Hijacking",Disable the RDP service if it is unnecessary
"T1021.001, T1563.002","Remote Desktop Protocol, RDP Hijacking",Use remote desktop gateways
"T1021.001, T1563.002, T1563","Remote Desktop Protocol, RDP Hijacking, Remote Service Session Hijacking",Limit remote user permissions if remote access is necessary
T1021.002,SMB/Windows Admin Shares,Consider disabling Windows administrative shares
T1021.002,SMB/Windows Admin Shares,Deny remote use of local admin credentials to log into systems. Do not allow domain user accounts to be in the local Administrators group multiple systems
"T1021.002, T1570","SMB/Windows Admin Shares, Lateral Tool Transfer",Consider using the host firewall to restrict file sharing communications such as SMB. (Citation: Microsoft Preventing SMB
"T1021.002, T1021","SMB/Windows Admin Shares, Remote Services",Do not reuse local administrator account passwords across systems. Ensure password complexity and uniqueness such that the passwords cannot be cracked or guessed
T1021.003,Distributed Component Object Model,Consider disabling DCOM through Dcomcnfg.exe.(Citation: Microsoft Disable DCOM
T1021.003,Distributed Component Object Model,"Enable Windows firewall, which prevents DCOM instantiation by default"
T1021.003,Distributed Component Object Model,Modify Registry settings (directly or using Dcomcnfg.exe) in `HKEY_LOCAL_MACHINE\SOFTWARE\Classes\AppID\{{AppID_GUID}}` associated with the process-wide security of individual COM applications.(Citation: Microsoft Process Wide Com Keys) Modify Registry settings (directly or using Dcomcnfg.exe) in `HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Ole` associated with system-wide security defaults for all COM applications that do not set their own process-wide security.(Citation: Microsoft System Wide Com Keys) (Citation: Microsoft COM ACL
"T1021.003, T1559.001, T1559","Distributed Component Object Model, Component Object Model, Inter-Process Communication",Ensure all COM alerts and Protected View are enabled.(Citation: Microsoft Protected View
T1021.004,SSH,"Disable the SSH daemon on systems that do not require it, especially ESXi servers. For macOS, ensure Remote Login is disabled under Sharing Preferences.(Citation: Apple Unified Log Analysis Remote Login and Screen Sharing"
T1021.004,SSH,Limit which user accounts are allowed to login via SSH
T1021.004,SSH,"Require multi-factor authentication for SSH connections wherever possible, such as password protected SSH keys"
T1021.005,VNC,Inventory workstations for unauthorized VNC server software
T1021.005,VNC,Restrict software installation to user groups that require it. A VNC server must be manually installed by the user or adversary
T1021.005,VNC,Uninstall any VNC server software where not required
T1021.005,VNC,"VNC defaults to TCP ports 5900 for the server, 5800 for browser access, and 5500 for a viewer in listening mode. Filtering or blocking these ports will inhibit VNC traffic utilizing default ports"
T1021.006,Windows Remote Management,Disable the WinRM service
T1021.006,Windows Remote Management,"If the service is necessary, lock down critical enclaves with separate WinRM accounts and permissions"
T1021.006,Windows Remote Management,"If the service is necessary, lock down critical enclaves with separate WinRM infrastructure and follow WinRM best practices on use of host firewalls to restrict WinRM access to allow communication only to/from specific devices.(Citation: NSA Spotting"
T1021.007,Cloud Services,"Limit the number of high-privileged domain and cloud accounts, and ensure that these are not used for day-to-day operations. Ensure that on-premises accounts do not have privileged cloud permissions and that isolated, cloud-only accounts are used for managing cloud environments.(Citation: Protecting Microsoft 365 From On-Premises Attacks"
T1021.007,Cloud Services,Use multi-factor authentication on cloud services whenever possible
T1021.008,Direct Cloud VM Connections,"If direct virtual machine connections are not required for administrative use, disable these connection types where feasible"
T1021.008,Direct Cloud VM Connections,Limit which users are allowed to access compute infrastructure via cloud native methods
T1021,Remote Services,"If remote services, such as the ability to make direct connections to cloud virtual machines, are not required, disable these connection types where feasible. On ESXi servers, consider enabling lockdown mode, which disables direct access to an ESXi host and requires that the host be managed remotely using vCenter.(Citation: Google Cloud Threat Intelligence ESXi Hardening 2023)(Citation: Broadcom ESXi Lockdown Mode"
T1021,Remote Services,"Limit the accounts that may use remote services. Limit the permissions for accounts that are at higher risk of compromise; for example, configure SSH so users can only run specific programs"
T1021,Remote Services,"Prevent unnecessary remote access to file shares, hypervisors, sensitive systems, etc. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc.(Citation: Sygnia ESXi Ransomware 2024"
T1021,Remote Services,Use multi-factor authentication on remote service logons where possible
T1027.002,Software Packing,Employ heuristic-based malware detection. Ensure updated virus definitions and create custom signatures for observed malware
"T1027.006, T1027.017","HTML Smuggling, SVG Smuggling","Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist"
T1027.009,Embedded Payloads,Anti-virus can be used to automatically detect and quarantine suspicious files
T1027.009,Embedded Payloads,"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent execution of potentially obfuscated scripts.(Citation: win10_asr"
T1027.010,Command Obfuscation,Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10+ to analyze commands after being processed/interpreted
T1027.010,Command Obfuscation,"On Windows 10+, enable Attack Surface Reduction (ASR) rules to block execution of potentially obfuscated scripts.(Citation: Microsoft ASR Obfuscation"
"T1027.011, T1027","Fileless Storage, Obfuscated Files or Information",Consider periodic review of common fileless storage locations (such as the Registry or WMI repository) to potentially identify abnormal and malicious data
T1027.012,LNK Icon Smuggling,"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent execution of potentially obfuscated scripts or payloads"
T1027.012,LNK Icon Smuggling,Use signatures or heuristics to detect malicious LNK and subsequently downloaded files
T1027.013,Encrypted/Encoded File,"Anti-virus can be used to automatically detect and quarantine suspicious files, including those with high entropy measurements or with otherwise potentially malicious signs of obfuscation"
T1027.013,Encrypted/Encoded File,"On Windows 10+, enable Attack Surface Reduction (ASR) rules to block execution of potentially obfuscated scripts.(Citation: Obfuscated scripts) Security tools should be configured to analyze the encoding properties of files and detect anomalies that deviate from standard encoding practices"
T1027.014,Polymorphic Code,Anti-virus can be used to automatically detect and quarantine suspicious files. Employment of advanced anti-malware techniques that make use of technologies like machine learning and behavior-based mechanisms to conduct signature-less malware detection will also be more effective than traditional indicator-based detection methods
T1027.014,Polymorphic Code,"On Windows 10+, enable Attack Surface Reduction (ASR) rules to prevent execution of potentially obfuscated payloads"
T1027.015,Compression,"Anti-virus can be used to automatically detect and quarantine suspicious files. Consider anti-virus products capable of unpacking and inspecting compressed files recursively, as well as analyzing SFX archives"
T1027.016,Junk Code Insertion,"Anti-virus can be used to automatically detect and quarantine suspicious files. Behavior-based detections, rather than reliance on static code analysis, may help to identify malicious files that rely heavily on junk code.(Citation: ReasonLabs"
T1027,Obfuscated Files or Information,Anti-virus can be used to automatically detect and quarantine suspicious files. Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10+ to analyze commands after being processed/interpreted. (Citation: Microsoft AMSI June 2015
T1027,Obfuscated Files or Information,Ensure that a finite amount of ingress points to a software deployment system exist with restricted access for those required to allow and enable newly deployed software
T1027,Obfuscated Files or Information,"On Windows 10+, enable Attack Surface Reduction (ASR) rules to prevent execution of potentially obfuscated payloads. (Citation: win10_asr"
T1046,Network Service Discovery,Ensure proper network segmentation is followed to protect critical servers and devices
T1046,Network Service Discovery,Ensure that unnecessary ports and services are closed to prevent risk of discovery and potential exploitation
T1046,Network Service Discovery,Use network intrusion detection/prevention systems to detect and prevent remote service scans
T1047,Windows Management Instrumentation,"By default, only administrators are allowed to connect remotely using WMI. Restrict other users who are allowed to connect, or disallow all users to connect remotely to WMI"
T1047,Windows Management Instrumentation,"On Windows 10, enable Attack Surface Reduction (ASR) rules to block processes created by WMI commands from running. Note: many legitimate tools and applications utilize WMI for command execution. (Citation: win10_asr"
T1047,Windows Management Instrumentation,Prevent credential overlap across systems of administrator and privileged accounts. (Citation: FireEye WMI 2015
T1047,Windows Management Instrumentation,"Use application control configured to block execution of <code>wmic.exe</code> if it is not required for a given system or network to prevent potential misuse by adversaries. For example, in Windows 10 and Windows Server 2016 and above, Windows Defender Application Control (WDAC) policy rules may be applied to block the <code>wmic.exe</code> application and to prevent abuse.(Citation: Microsoft WDAC"
T1053.002,At,"Limit privileges of user accounts and remediate Privilege Escalation vectors so only authorized administrators can create scheduled tasks on remote systems. In Linux environments, users account-level access to <code>[at](https://attack.mitre.org/software/S0110)</code> can be managed using <code>at.allow</code> and <code>at.deny</code> files. Users listed in the at.allow are enabled to schedule actions using at, whereas users listed in at.deny file disabled from the utility"
T1053.002,At,"Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges. (Citation: Powersploit) Windows operating system also creates a registry key specifically associated with the creation of a scheduled task on the destination host at: Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tree\At1. (Citation: Secureworks - AT.exe Scheduled Task) In Linux and macOS environments, scheduled tasks using <code>[at](https://attack.mitre.org/software/S0110)</code> can be audited locally, or through centrally collected logging, using syslog, or auditd events from the host. (Citation: Kifarunix - Task Scheduling in Linux"
"T1053.002, T1053.005","At, Scheduled Task",Configure the Increase Scheduling Priority option to only allow the Administrators group the rights to schedule a priority process. This can be configured through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > User Rights Assignment: Increase scheduling priority. (Citation: TechNet Scheduling Priority
"T1053.002, T1053","At, Scheduled Task/Job","Configure settings for scheduled tasks to force tasks to run under the context of the authenticated account instead of allowing them to run as SYSTEM. The associated Registry key is located at <code>HKLM\SYSTEM\CurrentControlSet\Control\Lsa\SubmitControl</code>. The setting can be configured through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > Security Options: Domain Controller: Allow server operators to schedule tasks, set to disabled. (Citation: TechNet Server Operator Scheduled Task"
T1053.003,Cron,"<code>cron</code> permissions are controlled by <code>/etc/cron.allow and /etc/cron.deny</code>. If there is a <code>cron.allow</code> file, then the user or users that need to use <code>cron</code> will need to be listed in the file. <code>cron.deny</code> is used to explicitly disallow users from using cron. If neither files exist, then only the super user is allowed to run cron"
T1053.003,Cron,"Review changes to the <code>cron</code> schedule. <code>cron</code> execution can be reviewed within the <code>/var/log</code> directory. To validate the location of the <code>cron</code> log file, check the syslog config at <code>/etc/rsyslog.conf</code> or <code>/etc/syslog.conf</code>"
T1053.005,Scheduled Task,"Configure settings for scheduled tasks to force tasks to run under the context of the authenticated account instead of allowing them to run as SYSTEM. The associated Registry key is located at HKLM\SYSTEM\CurrentControlSet\Control\Lsa\SubmitControl. The setting can be configured through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > Security Options: Domain Controller: Allow server operators to schedule tasks, set to disabled. (Citation: TechNet Server Operator Scheduled Task"
"T1053.005, T1053","Scheduled Task, Scheduled Task/Job",Limit privileges of user accounts and remediate Privilege Escalation vectors so only authorized administrators can create scheduled tasks on remote systems
"T1053.005, T1053","Scheduled Task, Scheduled Task/Job",Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges. (Citation: Powersploit
T1053.006,Systemd Timers,Limit access to the root account and prevent users from creating and/or modifying systemd timer unit files
T1053.006,Systemd Timers,Limit user access to system utilities such as 'systemctl' or 'systemd-run' to users who have a legitimate need
T1053.006,Systemd Timers,Restrict read/write access to systemd <code>.timer</code> unit files to only select privileged users who have a legitimate need to manage system services
T1053.007,Container Orchestration Job,Limit privileges of user accounts and remediate privilege escalation vectors so only authorized administrators can create container orchestration jobs
"T1053.007, T1612","Container Orchestration Job, Build Image on Host","Ensure containers are not running as root by default. In Kubernetes environments, consider defining Pod Security Standards that prevent pods from running privileged containers.(Citation: Kubernetes Hardening Guide"
T1053,Scheduled Task/Job,Configure the Increase Scheduling Priority option to only allow the Administrators group the rights to schedule a priority process. This can be can be configured through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > User Rights Assignment: Increase scheduling priority. (Citation: TechNet Scheduling Priority
T1053,Scheduled Task/Job,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts
"T1055.001, T1055.002, T1055.003, T1055.004, T1055.005, T1055.008, T1055.009, T1055.011, T1055.012, T1055.013, T1055.014, T1055.015","Dynamic-link Library Injection, Portable Executable Injection, Thread Execution Hijacking, Asynchronous Procedure Call, Thread Local Storage, Ptrace System Calls, Proc Memory, Extra Window Memory Injection, Process Hollowing, Process Doppelgänging, VDSO Hijacking, ListPlanting",Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process
"T1055.008, T1055","Ptrace System Calls, Process Injection","Utilize Yama (ex: /proc/sys/kernel/yama/ptrace_scope) to mitigate ptrace based process injection by restricting the use of ptrace to privileged users only. Other mitigation controls involve the deployment of security kernel modules that provide advanced access control and process restrictions such as SELinux, grsecurity, and AppArmor"
T1055.009,Proc Memory,Restrict the permissions on sensitive files such as <code>/proc/[pid]/maps</code> or <code>/proc/[pid]/mem</code>
T1055,Process Injection,"Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process. For example, on Windows 10, Attack Surface Reduction (ASR) rules may prevent Office applications from code injection. (Citation: win10_asr"
T1059.001,PowerShell,"It may be possible to remove PowerShell from systems when not needed, but a review should be performed to assess the impact to an environment, since it could be in use for many legitimate purposes and administrative functions. Disable/restrict the WinRM Service to help prevent uses of PowerShell for remote execution"
T1059.001,PowerShell,Set PowerShell execution policy to execute only signed scripts
"T1059.001, T1059","PowerShell, Command and Scripting Interpreter","When PowerShell is necessary, consider restricting PowerShell execution policy to administrators. Be aware that there are methods of bypassing the PowerShell execution policy, depending on environment configuration.(Citation: Netspi PowerShell Execution Policy Bypass) PowerShell JEA (Just Enough Administration) may also be used to sandbox administration and limit what commands admins/users can execute through remote PowerShell sessions.(Citation: Microsoft PS JEA"
"T1059.001, T1204.004","PowerShell, Malicious Copy and Paste","Use application control where appropriate. PowerShell Constrained Language mode can be used to restrict access to sensitive or otherwise dangerous language elements such as those used to execute arbitrary Windows APIs or files (e.g., `Add-Type`).(Citation: Microsoft PowerShell CLM"
T1059.002,AppleScript,Require that all AppleScript be signed by a trusted developer ID before being executed - this will prevent random AppleScript code from executing.(Citation: applescript signing) This subjects AppleScript code to the same scrutiny as other .app files passing through Gatekeeper
"T1059.002, T1059.003","AppleScript, Windows Command Shell",Use application control where appropriate
T1059.004,Unix Shell,"Use application control where appropriate. On ESXi hosts, the `execInstalledOnly` feature prevents binaries from being run unless they have been packaged and signed as part of a vSphere installation bundle (VIB).(Citation: Google Cloud Threat Intelligence ESXi Hardening 2023"
T1059.005,Visual Basic,"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent [Visual Basic](https://attack.mitre.org/techniques/T1059/005) scripts from executing potentially malicious downloaded content (Citation: win10_asr"
T1059.005,Visual Basic,Turn off or restrict access to unneeded VB components
T1059.005,Visual Basic,"Use application control where appropriate. VBA macros obtained from the Internet, based on the file's Mark of the Web (MOTW) attribute, may be blocked from executing in Office applications (ex: Access, Excel, PowerPoint, Visio, and Word) by default starting in Windows Version 2203.(Citation: Default VBS macros Blocking"
"T1059.005, T1059","Visual Basic, Command and Scripting Interpreter","Script blocking extensions can help prevent the execution of scripts and HTA files that may commonly be used during the exploitation process. For malicious code served up through ads, adblockers can help prevent that code from executing in the first place"
T1059.006,Python,Denylist Python where not required
T1059.006,Python,Inventory systems for unauthorized Python installations
T1059.006,Python,Prevent users from installing Python where not required
T1059.007,JavaScript,Denylist scripting where appropriate
T1059.007,JavaScript,"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent [JavaScript](https://attack.mitre.org/techniques/T1059/007) scripts from executing potentially malicious downloaded content (Citation: win10_asr"
T1059.007,JavaScript,"Script blocking extensions can help prevent the execution of JavaScript and HTA files that may commonly be used during the exploitation process. For malicious code served up through ads, adblockers can help prevent that code from executing in the first place"
T1059.007,JavaScript,Turn off or restrict access to unneeded scripting components
T1059.008,Network Device CLI,TACACS+ can keep control over which commands administrators are permitted to use through the configuration of authentication and command authorization. (Citation: Cisco IOS Software Integrity Assurance - TACACS
T1059.008,Network Device CLI,"Use of Authentication, Authorization, and Accounting (AAA) systems will limit actions administrators can perform and provide a history of user actions to detect unauthorized use and abuse. TACACS+ can keep control over which commands administrators are permitted to use through the configuration of authentication and command authorization(Citation: Cisco IOS Software Integrity Assurance - AAA) (Citation: Cisco IOS Software Integrity Assurance - TACACS"
T1059.008,Network Device CLI,"Use of Authentication, Authorization, and Accounting (AAA) systems will limit actions users can perform and provide a history of user actions to detect unauthorized use and abuse. Ensure least privilege principles are applied to user accounts and groups so that only authorized users can perform configuration changes. (Citation: Cisco IOS Software Integrity Assurance - AAA"
T1059.009,Cloud API,Use application control where appropriate to block use of PowerShell CmdLets or other host based resources to access cloud API resources
T1059.009,Cloud API,Use of proper Identity and Access Management (IAM) with Role Based Access Control (RBAC) policies to limit actions administrators can perform and provide a history of administrative actions to detect unauthorized use and abuse
T1059.010,AutoHotKey & AutoIT,"Use application control to prevent execution of `AutoIt3.exe`, `AutoHotkey.exe`, and other related features that may not be required for a given system or network to prevent potential misuse by adversaries"
T1059.011,Lua,Denylist Lua interpreters where appropriate
T1059.011,Lua,Inventory systems for unauthorized Lua installations
T1059.011,Lua,Prevent users from installing Lua where not required
T1059,Command and Scripting Interpreter,Disable or remove any unnecessary or unused shells or interpreters
T1059,Command and Scripting Interpreter,Inventory systems for unauthorized command and scripting interpreter installations
T1059,Command and Scripting Interpreter,"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent [Visual Basic](https://attack.mitre.org/techniques/T1059/005) and [JavaScript](https://attack.mitre.org/techniques/T1059/007) scripts from executing potentially malicious downloaded content (Citation: win10_asr"
T1059,Command and Scripting Interpreter,Prevent user installation of unrequired command and scripting interpreters
T1059,Command and Scripting Interpreter,"Use application control where appropriate. For example, PowerShell Constrained Language mode can be used to restrict access to sensitive or otherwise dangerous language elements such as those used to execute arbitrary Windows APIs or files (e.g., `Add-Type`).(Citation: Microsoft PowerShell CLM"
T1059,Command and Scripting Interpreter,"Where possible, only permit execution of signed scripts"
T1068,Exploitation for Privilege Escalation,Consider blocking the execution of known vulnerable drivers that adversaries may exploit to execute code in kernel mode. Validate driver block rules in audit mode to ensure stability prior to production deployment.(Citation: Microsoft Driver Block Rules
T1068,Exploitation for Privilege Escalation,Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. (Citation: TechNet Moving Beyond EMET) Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. (Citation: Wikipedia Control Flow Integrity) Many of these protections depend on the architecture and target application binary for compatibility and may not work for software components targeted for privilege escalation
"T1070.001, T1070.002, T1070.008, T1070.009, T1070","Clear Windows Event Logs, Clear Linux or Mac System Logs, Clear Mailbox Data, Clear Persistence, Indicator Removal",Protect generated event files that are stored locally with proper permissions and authentication and limit opportunities for adversaries to increase privileges by preventing Privilege Escalation opportunities
"T1070.001, T1070.002, T1070.007, T1070.009, T1070","Clear Windows Event Logs, Clear Linux or Mac System Logs, Clear Network Connection History and Configurations, Clear Persistence, Indicator Removal","Automatically forward events to a log server or data repository to prevent conditions in which the adversary can locate and manipulate data on the local system. When possible, minimize time delay on event reporting to avoid prolonged storage on the local system"
"T1070.001, T1070.002, T1070","Clear Windows Event Logs, Clear Linux or Mac System Logs, Indicator Removal",Obfuscate/encrypt event files locally and in transit to avoid giving feedback to an adversary
T1070.003,Clear Command History,Forward logging of historical data to remote data store and centralized logging solution to preserve historical command line log data
T1070.003,Clear Command History,Making the environment variables associated with command history read only may ensure that the history is preserved.(Citation: Securing bash history
T1070.003,Clear Command History,Preventing users from deleting or writing to certain files can stop adversaries from maliciously altering their <code>~/.bash_history</code> or <code>ConsoleHost_history.txt</code> files
T1070.007,Clear Network Connection History and Configurations,Protect generated event files and logs that are stored locally with proper permissions and authentication and limit opportunities for adversaries to increase privileges by preventing Privilege Escalation opportunities
T1070.008,Clear Mailbox Data,"Automatically forward mail data and events to a log server or data repository to prevent conditions in which the adversary can locate and manipulate data on the local system. When possible, minimize time delay on event reporting to avoid prolonged storage on the local system"
T1070.008,Clear Mailbox Data,"In an Exchange environment, Administrators can use `Get-TransportRule` / `Remove-TransportRule` to discover and remove potentially malicious transport rules.(Citation: Microsoft Manage Mail Flow Rules 2023"
"T1071.001, T1071.002, T1071.003, T1071.004, T1071.005, T1071, T1095, T1102.001, T1102.002, T1102.003, T1102, T1104, T1571, T1572, T1573.001, T1573.002, T1573","Web Protocols, File Transfer Protocols, Mail Protocols, DNS, Publish/Subscribe Protocols, Application Layer Protocol, Non-Application Layer Protocol, Dead Drop Resolver, Bidirectional Communication, One-Way Communication, Web Service, Multi-Stage Channels, Non-Standard Port, Protocol Tunneling, Symmetric Cryptography, Asymmetric Cryptography, Encrypted Channel",Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level
T1071.004,DNS,"Consider filtering DNS requests to unknown, untrusted, or known bad domains and resources. Resolving DNS requests with on-premise/proxy servers may also disrupt adversary attempts to conceal data within DNS packets"
T1071.005,Publish/Subscribe Protocols,Consider filtering publish/subscribe protocol requests to untrusted or known bad resources over irregular ports (e.g. MQTT’s standard ports are 1883 or 8883
T1078.001,Default Accounts,"Applications and appliances that utilize default username and password should be changed immediately after the installation, and before deployment to a production environment. (Citation: US-CERT Alert TA13-175A Risks of Default Passwords on the Internet"
T1078.001,Default Accounts,"Implement multi-factor authentication (MFA) for default accounts whenever possible to prevent unauthorized access, even if credentials for these accounts are compromised. MFA adds an additional layer of security that requires more than just a username and password, making it significantly harder for adversaries to exploit these accounts for initial access or lateral movement"
T1078.002,Domain Accounts,"Audit domain account permission levels routinely to look for situations that could allow an adversary to gain wide access by obtaining credentials of a privileged account. Do not put user or admin domain accounts in the local administrator groups across systems unless they are tightly controlled and use of accounts is segmented, as this is often equivalent to having a local administrator account with the same password on all systems. Follow best practices for design and administration of an enterprise network to limit privileged account use across administrative tiers. Limit credential overlap across systems to prevent access if account credentials are obtained"
T1078.002,Domain Accounts,"Implement and enforce strong password policies for domain accounts to ensure passwords are complex, unique, and regularly rotated. This reduces the likelihood of password guessing, credential stuffing, and other attack methods that rely on weak or static credentials"
T1078.002,Domain Accounts,"Regularly review and manage domain accounts to ensure that only active, necessary accounts exist. Remove or disable inactive and unnecessary accounts to reduce the risk of adversaries abusing these accounts to gain unauthorized access or move laterally within the network"
"T1078.002, T1078.004, T1078","Domain Accounts, Cloud Accounts, Valid Accounts",Applications may send push notifications to verify a login as a form of multi-factor authentication (MFA). Train users to only accept valid push notifications and to report suspicious push notifications
"T1078.002, T1556.001, T1556.007, T1556","Domain Accounts, Domain Controller Authentication, Hybrid Identity, Modify Authentication Process","Integrating multi-factor authentication (MFA) as part of organizational policy can greatly reduce the risk of an adversary gaining control of valid credentials that may be used for additional tactics such as initial access, lateral movement, and collecting information. MFA can also be used to restrict access to cloud resources and APIs"
T1078.003,Local Accounts,"Audit local accounts permission levels routinely to look for situations that could allow an adversary to gain wide access by obtaining credentials of a privileged account. (Citation: TechNet Credential Theft) (Citation: TechNet Least Privilege) Limit the usage of local administrator accounts to be used for day-to-day operations that may expose them to potential adversaries. For example, audit the use of service accounts in Kubernetes, and avoid automatically granting them access to the Kubernetes API if this is not required.(Citation: Kubernetes Service Accounts) Implementing LAPS may also help prevent reuse of local administrator credentials across a domain.(Citation: Microsoft Remote Use of Local"
